exact_test_key	old_digest	new_digest	style_cells_changed	visible_style_changes	symbol_changes	unknown_contrast_after	low_contrast_after	state_digest	state_status	before_style_dump	after_style_dump	before_ansi	after_ansi	before_html	after_html
render::components::code_editor::disabled 120 40 paper mono	fac2db84f7ce6162	950da360be7bf036	4768	3	0	0	0	distinct	distinct	before/styles/code_editor--disabled__120x40__paper__mono.tsv	after/styles/code_editor--disabled__120x40__paper__mono.tsv	before/ansi/code_editor--disabled__120x40__paper__mono.ansi	after/ansi/code_editor--disabled__120x40__paper__mono.ansi	before/html/code_editor--disabled__120x40__paper__mono.html	after/html/code_editor--disabled__120x40__paper__mono.html
render::components::code_editor::disabled 120 40 paper truecolor	6b645d24f89ac5e2	2f229feb8266a982	4800	28	0	0	28	distinct	distinct	before/styles/code_editor--disabled__120x40__paper__truecolor.tsv	after/styles/code_editor--disabled__120x40__paper__truecolor.tsv	before/ansi/code_editor--disabled__120x40__paper__truecolor.ansi	after/ansi/code_editor--disabled__120x40__paper__truecolor.ansi	before/html/code_editor--disabled__120x40__paper__truecolor.html	after/html/code_editor--disabled__120x40__paper__truecolor.html
render::components::code_editor::disabled 40 10 junie mono	4effe6c0029f69da	3f3c7aee8777ed26	368	3	0	0	3	distinct	distinct	before/styles/code_editor--disabled__40x10__junie__mono.tsv	after/styles/code_editor--disabled__40x10__junie__mono.tsv	before/ansi/code_editor--disabled__40x10__junie__mono.ansi	after/ansi/code_editor--disabled__40x10__junie__mono.ansi	before/html/code_editor--disabled__40x10__junie__mono.html	after/html/code_editor--disabled__40x10__junie__mono.html
render::components::code_editor::disabled 40 10 junie truecolor	a0a3a2ffbd50cbbe	4006fe588b7d12aa	400	28	0	0	28	distinct	distinct	before/styles/code_editor--disabled__40x10__junie__truecolor.tsv	after/styles/code_editor--disabled__40x10__junie__truecolor.tsv	before/ansi/code_editor--disabled__40x10__junie__truecolor.ansi	after/ansi/code_editor--disabled__40x10__junie__truecolor.ansi	before/html/code_editor--disabled__40x10__junie__truecolor.html	after/html/code_editor--disabled__40x10__junie__truecolor.html
render::components::code_editor::disabled 40 10 paper mono	247d6fd161110122	c6b533f4a2d7c3d6	368	3	0	0	0	distinct	distinct	before/styles/code_editor--disabled__40x10__paper__mono.tsv	after/styles/code_editor--disabled__40x10__paper__mono.tsv	before/ansi/code_editor--disabled__40x10__paper__mono.ansi	after/ansi/code_editor--disabled__40x10__paper__mono.ansi	before/html/code_editor--disabled__40x10__paper__mono.html	after/html/code_editor--disabled__40x10__paper__mono.html
render::components::code_editor::disabled 40 10 paper truecolor	221e5e3eda930862	5055bf8365bd2e82	400	28	0	0	28	distinct	distinct	before/styles/code_editor--disabled__40x10__paper__truecolor.tsv	after/styles/code_editor--disabled__40x10__paper__truecolor.tsv	before/ansi/code_editor--disabled__40x10__paper__truecolor.ansi	after/ansi/code_editor--disabled__40x10__paper__truecolor.ansi	before/html/code_editor--disabled__40x10__paper__truecolor.html	after/html/code_editor--disabled__40x10__paper__truecolor.html
render::components::dialog::disabled 120 40 junie mono	b737d61b383ec6f5	2d6a3cd4c020d7e5	12	8	0	0	0	distinct	distinct	before/styles/dialog--disabled__120x40__junie__mono.tsv	after/styles/dialog--disabled__120x40__junie__mono.tsv	before/ansi/dialog--disabled__120x40__junie__mono.ansi	after/ansi/dialog--disabled__120x40__junie__mono.ansi	before/html/dialog--disabled__120x40__junie__mono.html	after/html/dialog--disabled__120x40__junie__mono.html
render::components::dialog::disabled 120 40 junie truecolor	3b3a35187a544472	0b134dfe49fc91dc	12	8	0	0	8	distinct	distinct	before/styles/dialog--disabled__120x40__junie__truecolor.tsv	after/styles/dialog--disabled__120x40__junie__truecolor.tsv	before/ansi/dialog--disabled__120x40__junie__truecolor.ansi	after/ansi/dialog--disabled__120x40__junie__truecolor.ansi	before/html/dialog--disabled__120x40__junie__truecolor.html	after/html/dialog--disabled__120x40__junie__truecolor.html
render::components::dialog::disabled 120 40 paper mono	98782672ba8211f1	6e84f6e549134175	8	8	0	0	0	distinct	distinct	before/styles/dialog--disabled__120x40__paper__mono.tsv	after/styles/dialog--disabled__120x40__paper__mono.tsv	before/ansi/dialog--disabled__120x40__paper__mono.ansi	after/ansi/dialog--disabled__120x40__paper__mono.ansi	before/html/dialog--disabled__120x40__paper__mono.html	after/html/dialog--disabled__120x40__paper__mono.html
render::components::dialog::disabled 120 40 paper truecolor	c32427125f196b4a	9f89355d75801b00	12	8	0	0	8	distinct	distinct	before/styles/dialog--disabled__120x40__paper__truecolor.tsv	after/styles/dialog--disabled__120x40__paper__truecolor.tsv	before/ansi/dialog--disabled__120x40__paper__truecolor.ansi	after/ansi/dialog--disabled__120x40__paper__truecolor.ansi	before/html/dialog--disabled__120x40__paper__truecolor.html	after/html/dialog--disabled__120x40__paper__truecolor.html
render::components::dialog::disabled 40 10 junie mono	081728ded55d1575	3ef081624f0f1fa5	12	8	0	0	0	distinct	distinct	before/styles/dialog--disabled__40x10__junie__mono.tsv	after/styles/dialog--disabled__40x10__junie__mono.tsv	before/ansi/dialog--disabled__40x10__junie__mono.ansi	after/ansi/dialog--disabled__40x10__junie__mono.ansi	before/html/dialog--disabled__40x10__junie__mono.html	after/html/dialog--disabled__40x10__junie__mono.html
render::components::dialog::disabled 40 10 junie truecolor	bca990b4d6367868	36cf11641eca3792	12	8	0	0	8	distinct	distinct	before/styles/dialog--disabled__40x10__junie__truecolor.tsv	after/styles/dialog--disabled__40x10__junie__truecolor.tsv	before/ansi/dialog--disabled__40x10__junie__truecolor.ansi	after/ansi/dialog--disabled__40x10__junie__truecolor.ansi	before/html/dialog--disabled__40x10__junie__truecolor.html	after/html/dialog--disabled__40x10__junie__truecolor.html
render::components::dialog::disabled 40 10 paper mono	f9fb14d2886dbe31	9033e3ce2e9ff745	8	8	0	0	0	distinct	distinct	before/styles/dialog--disabled__40x10__paper__mono.tsv	after/styles/dialog--disabled__40x10__paper__mono.tsv	before/ansi/dialog--disabled__40x10__paper__mono.ansi	after/ansi/dialog--disabled__40x10__paper__mono.ansi	before/html/dialog--disabled__40x10__paper__mono.html	after/html/dialog--disabled__40x10__paper__mono.html
render::components::dialog::disabled 40 10 paper truecolor	37273c6e6232fa10	5d6911160dfe8ed6	12	8	0	0	8	distinct	distinct	before/styles/dialog--disabled__40x10__paper__truecolor.tsv	after/styles/dialog--disabled__40x10__paper__truecolor.tsv	before/ansi/dialog--disabled__40x10__paper__truecolor.ansi	after/ansi/dialog--disabled__40x10__paper__truecolor.ansi	before/html/dialog--disabled__40x10__paper__truecolor.html	after/html/dialog--disabled__40x10__paper__truecolor.html
render::components::list::disabled 120 40 junie mono	164c36b18586726f	f103800dc105c655	661	70	0	0	0	distinct	distinct	before/styles/list--disabled__120x40__junie__mono.tsv	after/styles/list--disabled__120x40__junie__mono.tsv	before/ansi/list--disabled__120x40__junie__mono.ansi	after/ansi/list--disabled__120x40__junie__mono.ansi	before/html/list--disabled__120x40__junie__mono.html	after/html/list--disabled__120x40__junie__mono.html
render::components::list::disabled 120 40 junie truecolor	ce3be201fd5894f6	75e65c95a31af14a	667	70	0	0	0	distinct	distinct	before/styles/list--disabled__120x40__junie__truecolor.tsv	after/styles/list--disabled__120x40__junie__truecolor.tsv	before/ansi/list--disabled__120x40__junie__truecolor.ansi	after/ansi/list--disabled__120x40__junie__truecolor.ansi	before/html/list--disabled__120x40__junie__truecolor.html	after/html/list--disabled__120x40__junie__truecolor.html
render::components::list::disabled 120 40 paper mono	73efdde5cdb3a6c5	83c3412c6d3274e1	76	70	0	0	0	distinct	distinct	before/styles/list--disabled__120x40__paper__mono.tsv	after/styles/list--disabled__120x40__paper__mono.tsv	before/ansi/list--disabled__120x40__paper__mono.ansi	after/ansi/list--disabled__120x40__paper__mono.ansi	before/html/list--disabled__120x40__paper__mono.html	after/html/list--disabled__120x40__paper__mono.html
render::components::list::disabled 120 40 paper truecolor	82e97d15fc758a0e	1a7c1de4c4138669	667	70	0	0	0	distinct	distinct	before/styles/list--disabled__120x40__paper__truecolor.tsv	after/styles/list--disabled__120x40__paper__truecolor.tsv	before/ansi/list--disabled__120x40__paper__truecolor.ansi	after/ansi/list--disabled__120x40__paper__truecolor.ansi	before/html/list--disabled__120x40__paper__truecolor.html	after/html/list--disabled__120x40__paper__truecolor.html
render::components::list::disabled 40 10 junie mono	deac25911bc9718f	d7fff511bd43b3b5	181	70	0	0	0	distinct	distinct	before/styles/list--disabled__40x10__junie__mono.tsv	after/styles/list--disabled__40x10__junie__mono.tsv	before/ansi/list--disabled__40x10__junie__mono.ansi	after/ansi/list--disabled__40x10__junie__mono.ansi	before/html/list--disabled__40x10__junie__mono.html	after/html/list--disabled__40x10__junie__mono.html
render::components::list::disabled 40 10 junie truecolor	4e5dee5a5d3d3a76	18f31a3001f22eca	187	70	0	0	0	distinct	distinct	before/styles/list--disabled__40x10__junie__truecolor.tsv	after/styles/list--disabled__40x10__junie__truecolor.tsv	before/ansi/list--disabled__40x10__junie__truecolor.ansi	after/ansi/list--disabled__40x10__junie__truecolor.ansi	before/html/list--disabled__40x10__junie__truecolor.html	after/html/list--disabled__40x10__junie__truecolor.html
render::components::list::disabled 40 10 paper mono	447bcd08741e2165	12d2ab9c62b89201	76	70	0	0	0	distinct	distinct	before/styles/list--disabled__40x10__paper__mono.tsv	after/styles/list--disabled__40x10__paper__mono.tsv	before/ansi/list--disabled__40x10__paper__mono.ansi	after/ansi/list--disabled__40x10__paper__mono.ansi	before/html/list--disabled__40x10__paper__mono.html	after/html/list--disabled__40x10__paper__mono.html
render::components::list::disabled 40 10 paper truecolor	85d6dbd488cef51e	733286663f91e919	187	70	0	0	0	distinct	distinct	before/styles/list--disabled__40x10__paper__truecolor.tsv	after/styles/list--disabled__40x10__paper__truecolor.tsv	before/ansi/list--disabled__40x10__paper__truecolor.ansi	after/ansi/list--disabled__40x10__paper__truecolor.ansi	before/html/list--disabled__40x10__paper__truecolor.html	after/html/list--disabled__40x10__paper__truecolor.html
render::components::menu_bar::disabled 120 40 junie mono	ee5d27b03b18dbb3	9af82d9aa0bb0e6b	4	4	0	0	4	distinct	distinct	before/styles/menu_bar--disabled__120x40__junie__mono.tsv	after/styles/menu_bar--disabled__120x40__junie__mono.tsv	before/ansi/menu_bar--disabled__120x40__junie__mono.ansi	after/ansi/menu_bar--disabled__120x40__junie__mono.ansi	before/html/menu_bar--disabled__120x40__junie__mono.html	after/html/menu_bar--disabled__120x40__junie__mono.html
render::components::menu_bar::disabled 120 40 junie truecolor	5cae5c8506ff7113	ee73e38d0aac1d5f	4	4	0	0	0	distinct	distinct	before/styles/menu_bar--disabled__120x40__junie__truecolor.tsv	after/styles/menu_bar--disabled__120x40__junie__truecolor.tsv	before/ansi/menu_bar--disabled__120x40__junie__truecolor.ansi	after/ansi/menu_bar--disabled__120x40__junie__truecolor.ansi	before/html/menu_bar--disabled__120x40__junie__truecolor.html	after/html/menu_bar--disabled__120x40__junie__truecolor.html
render::components::menu_bar::disabled 120 40 paper mono	fd2495cb9a5e26ab	47ca50934e3a7cab	4	4	0	0	0	distinct	distinct	before/styles/menu_bar--disabled__120x40__paper__mono.tsv	after/styles/menu_bar--disabled__120x40__paper__mono.tsv	before/ansi/menu_bar--disabled__120x40__paper__mono.ansi	after/ansi/menu_bar--disabled__120x40__paper__mono.ansi	before/html/menu_bar--disabled__120x40__paper__mono.html	after/html/menu_bar--disabled__120x40__paper__mono.html
render::components::menu_bar::disabled 120 40 paper truecolor	7326495bdac3a26f	c51182a848826343	4	4	0	0	0	distinct	distinct	before/styles/menu_bar--disabled__120x40__paper__truecolor.tsv	after/styles/menu_bar--disabled__120x40__paper__truecolor.tsv	before/ansi/menu_bar--disabled__120x40__paper__truecolor.ansi	after/ansi/menu_bar--disabled__120x40__paper__truecolor.ansi	before/html/menu_bar--disabled__120x40__paper__truecolor.html	after/html/menu_bar--disabled__120x40__paper__truecolor.html
render::components::menu_bar::disabled 40 10 junie mono	12b9a851f9af4d93	5875cb2ca6db0e4b	4	4	0	0	4	distinct	distinct	before/styles/menu_bar--disabled__40x10__junie__mono.tsv	after/styles/menu_bar--disabled__40x10__junie__mono.tsv	before/ansi/menu_bar--disabled__40x10__junie__mono.ansi	after/ansi/menu_bar--disabled__40x10__junie__mono.ansi	before/html/menu_bar--disabled__40x10__junie__mono.html	after/html/menu_bar--disabled__40x10__junie__mono.html
render::components::menu_bar::disabled 40 10 junie truecolor	f50445ec8b64db53	941d2bfe50b94e9f	4	4	0	0	0	distinct	distinct	before/styles/menu_bar--disabled__40x10__junie__truecolor.tsv	after/styles/menu_bar--disabled__40x10__junie__truecolor.tsv	before/ansi/menu_bar--disabled__40x10__junie__truecolor.ansi	after/ansi/menu_bar--disabled__40x10__junie__truecolor.ansi	before/html/menu_bar--disabled__40x10__junie__truecolor.html	after/html/menu_bar--disabled__40x10__junie__truecolor.html
render::components::menu_bar::disabled 40 10 paper mono	30ec7711c4af9f0b	215378711234f50b	4	4	0	0	0	distinct	distinct	before/styles/menu_bar--disabled__40x10__paper__mono.tsv	after/styles/menu_bar--disabled__40x10__paper__mono.tsv	before/ansi/menu_bar--disabled__40x10__paper__mono.ansi	after/ansi/menu_bar--disabled__40x10__paper__mono.ansi	before/html/menu_bar--disabled__40x10__paper__mono.html	after/html/menu_bar--disabled__40x10__paper__mono.html
render::components::menu_bar::disabled 40 10 paper truecolor	0d6c0a069c56e61f	d450ea8c66ace473	4	4	0	0	0	distinct	distinct	before/styles/menu_bar--disabled__40x10__paper__truecolor.tsv	after/styles/menu_bar--disabled__40x10__paper__truecolor.tsv	before/ansi/menu_bar--disabled__40x10__paper__truecolor.ansi	after/ansi/menu_bar--disabled__40x10__paper__truecolor.ansi	before/html/menu_bar--disabled__40x10__paper__truecolor.html	after/html/menu_bar--disabled__40x10__paper__truecolor.html
render::components::picker_chain::selected 120 40 junie mono	79a4feb79184f0d2	18bdf34fe9a78b0a	7	7	0	0	0	distinct	distinct	before/styles/picker_chain--selected__120x40__junie__mono.tsv	after/styles/picker_chain--selected__120x40__junie__mono.tsv	before/ansi/picker_chain--selected__120x40__junie__mono.ansi	after/ansi/picker_chain--selected__120x40__junie__mono.ansi	before/html/picker_chain--selected__120x40__junie__mono.html	after/html/picker_chain--selected__120x40__junie__mono.html
render::components::picker_chain::selected 120 40 junie truecolor	b7081733e2f45ede	c606244a8c1a2098	7	7	0	0	0	distinct	distinct	before/styles/picker_chain--selected__120x40__junie__truecolor.tsv	after/styles/picker_chain--selected__120x40__junie__truecolor.tsv	before/ansi/picker_chain--selected__120x40__junie__truecolor.ansi	after/ansi/picker_chain--selected__120x40__junie__truecolor.ansi	before/html/picker_chain--selected__120x40__junie__truecolor.html	after/html/picker_chain--selected__120x40__junie__truecolor.html
render::components::picker_chain::selected 120 40 paper mono	ed1bddc828302a72	94d9f895afc18efa	7	7	0	0	0	distinct	distinct	before/styles/picker_chain--selected__120x40__paper__mono.tsv	after/styles/picker_chain--selected__120x40__paper__mono.tsv	before/ansi/picker_chain--selected__120x40__paper__mono.ansi	after/ansi/picker_chain--selected__120x40__paper__mono.ansi	before/html/picker_chain--selected__120x40__paper__mono.html	after/html/picker_chain--selected__120x40__paper__mono.html
render::components::picker_chain::selected 120 40 paper truecolor	fbba09714c4ed84c	9a7d2e15b989f929	7	7	0	0	0	distinct	distinct	before/styles/picker_chain--selected__120x40__paper__truecolor.tsv	after/styles/picker_chain--selected__120x40__paper__truecolor.tsv	before/ansi/picker_chain--selected__120x40__paper__truecolor.ansi	after/ansi/picker_chain--selected__120x40__paper__truecolor.ansi	before/html/picker_chain--selected__120x40__paper__truecolor.html	after/html/picker_chain--selected__120x40__paper__truecolor.html
render::components::picker_chain::selected 40 10 junie mono	3b157164d06fad32	bc458af23c2379ea	7	7	0	0	0	distinct	distinct	before/styles/picker_chain--selected__40x10__junie__mono.tsv	after/styles/picker_chain--selected__40x10__junie__mono.tsv	before/ansi/picker_chain--selected__40x10__junie__mono.ansi	after/ansi/picker_chain--selected__40x10__junie__mono.ansi	before/html/picker_chain--selected__40x10__junie__mono.html	after/html/picker_chain--selected__40x10__junie__mono.html
render::components::picker_chain::selected 40 10 junie truecolor	cb7c93a6d76088de	b8f9fe6c615c2398	7	7	0	0	0	distinct	distinct	before/styles/picker_chain--selected__40x10__junie__truecolor.tsv	after/styles/picker_chain--selected__40x10__junie__truecolor.tsv	before/ansi/picker_chain--selected__40x10__junie__truecolor.ansi	after/ansi/picker_chain--selected__40x10__junie__truecolor.ansi	before/html/picker_chain--selected__40x10__junie__truecolor.html	after/html/picker_chain--selected__40x10__junie__truecolor.html
render::components::picker_chain::selected 40 10 paper mono	ace67f346e0f67d2	4f92f70983d14f5a	7	7	0	0	0	distinct	distinct	before/styles/picker_chain--selected__40x10__paper__mono.tsv	after/styles/picker_chain--selected__40x10__paper__mono.tsv	before/ansi/picker_chain--selected__40x10__paper__mono.ansi	after/ansi/picker_chain--selected__40x10__paper__mono.ansi	before/html/picker_chain--selected__40x10__paper__mono.html	after/html/picker_chain--selected__40x10__paper__mono.html
render::components::picker_chain::selected 40 10 paper truecolor	18834e6a4d8ffe3c	166b352a06627d39	7	7	0	0	0	distinct	distinct	before/styles/picker_chain--selected__40x10__paper__truecolor.tsv	after/styles/picker_chain--selected__40x10__paper__truecolor.tsv	before/ansi/picker_chain--selected__40x10__paper__truecolor.ansi	after/ansi/picker_chain--selected__40x10__paper__truecolor.ansi	before/html/picker_chain--selected__40x10__paper__truecolor.html	after/html/picker_chain--selected__40x10__paper__truecolor.html
render::components::tabs::focused 120 40 junie mono	03263f48effb1240	dbf77ccc2cf211a1	115	36	0	0	5	distinct	distinct	before/styles/tabs--focused__120x40__junie__mono.tsv	after/styles/tabs--focused__120x40__junie__mono.tsv	before/ansi/tabs--focused__120x40__junie__mono.ansi	after/ansi/tabs--focused__120x40__junie__mono.ansi	before/html/tabs--focused__120x40__junie__mono.html	after/html/tabs--focused__120x40__junie__mono.html
render::components::tabs::focused 120 40 junie truecolor	345a10235d65f11f	9ecda219f913871c	115	36	0	0	0	distinct	distinct	before/styles/tabs--focused__120x40__junie__truecolor.tsv	after/styles/tabs--focused__120x40__junie__truecolor.tsv	before/ansi/tabs--focused__120x40__junie__truecolor.ansi	after/ansi/tabs--focused__120x40__junie__truecolor.ansi	before/html/tabs--focused__120x40__junie__truecolor.html	after/html/tabs--focused__120x40__junie__truecolor.html
render::components::tabs::focused 120 40 paper mono	ad59d0d63e9883e4	7abfc94e7df50945	115	36	0	0	0	distinct	distinct	before/styles/tabs--focused__120x40__paper__mono.tsv	after/styles/tabs--focused__120x40__paper__mono.tsv	before/ansi/tabs--focused__120x40__paper__mono.ansi	after/ansi/tabs--focused__120x40__paper__mono.ansi	before/html/tabs--focused__120x40__paper__mono.html	after/html/tabs--focused__120x40__paper__mono.html
render::components::tabs::focused 120 40 paper truecolor	9aa17c11b0135f9e	c8e58521b7b83935	115	36	0	0	0	distinct	distinct	before/styles/tabs--focused__120x40__paper__truecolor.tsv	after/styles/tabs--focused__120x40__paper__truecolor.tsv	before/ansi/tabs--focused__120x40__paper__truecolor.ansi	after/ansi/tabs--focused__120x40__paper__truecolor.ansi	before/html/tabs--focused__120x40__paper__truecolor.html	after/html/tabs--focused__120x40__paper__truecolor.html
render::components::tabs::focused 40 10 junie mono	8575598b028539ba	2d01bc2342f6ec25	35	23	0	0	5	distinct	distinct	before/styles/tabs--focused__40x10__junie__mono.tsv	after/styles/tabs--focused__40x10__junie__mono.tsv	before/ansi/tabs--focused__40x10__junie__mono.ansi	after/ansi/tabs--focused__40x10__junie__mono.ansi	before/html/tabs--focused__40x10__junie__mono.html	after/html/tabs--focused__40x10__junie__mono.html
render::components::tabs::focused 40 10 junie truecolor	870f0d29c4b57860	ad29ee72c476b517	35	23	0	0	0	distinct	distinct	before/styles/tabs--focused__40x10__junie__truecolor.tsv	after/styles/tabs--focused__40x10__junie__truecolor.tsv	before/ansi/tabs--focused__40x10__junie__truecolor.ansi	after/ansi/tabs--focused__40x10__junie__truecolor.ansi	before/html/tabs--focused__40x10__junie__truecolor.html	after/html/tabs--focused__40x10__junie__truecolor.html
render::components::tabs::focused 40 10 paper mono	a26add1c3797f552	bb77aa02abb1525d	35	23	0	0	0	distinct	distinct	before/styles/tabs--focused__40x10__paper__mono.tsv	after/styles/tabs--focused__40x10__paper__mono.tsv	before/ansi/tabs--focused__40x10__paper__mono.ansi	after/ansi/tabs--focused__40x10__paper__mono.ansi	before/html/tabs--focused__40x10__paper__mono.html	after/html/tabs--focused__40x10__paper__mono.html
render::components::tabs::focused 40 10 paper truecolor	2eb100378a3b3c43	86a9012d0bb33bd6	35	23	0	0	0	distinct	distinct	before/styles/tabs--focused__40x10__paper__truecolor.tsv	after/styles/tabs--focused__40x10__paper__truecolor.tsv	before/ansi/tabs--focused__40x10__paper__truecolor.ansi	after/ansi/tabs--focused__40x10__paper__truecolor.ansi	before/html/tabs--focused__40x10__paper__truecolor.html	after/html/tabs--focused__40x10__paper__truecolor.html
render::components::wizard::disabled 120 40 junie truecolor	8862c8bb099345a8	90c773fd36d4febe	7	7	0	0	0	distinct	distinct	before/styles/wizard--disabled__120x40__junie__truecolor.tsv	after/styles/wizard--disabled__120x40__junie__truecolor.tsv	before/ansi/wizard--disabled__120x40__junie__truecolor.ansi	after/ansi/wizard--disabled__120x40__junie__truecolor.ansi	before/html/wizard--disabled__120x40__junie__truecolor.html	after/html/wizard--disabled__120x40__junie__truecolor.html
render::components::wizard::disabled 120 40 paper truecolor	2a9991ed121f720a	b90251c0e0b41a77	7	7	0	0	0	distinct	distinct	before/styles/wizard--disabled__120x40__paper__truecolor.tsv	after/styles/wizard--disabled__120x40__paper__truecolor.tsv	before/ansi/wizard--disabled__120x40__paper__truecolor.ansi	after/ansi/wizard--disabled__120x40__paper__truecolor.ansi	before/html/wizard--disabled__120x40__paper__truecolor.html	after/html/wizard--disabled__120x40__paper__truecolor.html
render::components::wizard::disabled 40 10 junie truecolor	570b446a1182977c	6daf3224d1a22432	7	7	0	0	0	distinct	distinct	before/styles/wizard--disabled__40x10__junie__truecolor.tsv	after/styles/wizard--disabled__40x10__junie__truecolor.tsv	before/ansi/wizard--disabled__40x10__junie__truecolor.ansi	after/ansi/wizard--disabled__40x10__junie__truecolor.ansi	before/html/wizard--disabled__40x10__junie__truecolor.html	after/html/wizard--disabled__40x10__junie__truecolor.html
render::components::wizard::disabled 40 10 paper truecolor	5e4c34fbf5f8830a	c13210f100dcfcab	7	7	0	0	0	distinct	distinct	before/styles/wizard--disabled__40x10__paper__truecolor.tsv	after/styles/wizard--disabled__40x10__paper__truecolor.tsv	before/ansi/wizard--disabled__40x10__paper__truecolor.ansi	after/ansi/wizard--disabled__40x10__paper__truecolor.ansi	before/html/wizard--disabled__40x10__paper__truecolor.html	after/html/wizard--disabled__40x10__paper__truecolor.html
