component	state_a	state_b	width	height	theme	color	digest	status	reason
too_small	default	focused	40	10	junie	mono	9dc2a8f43da5bbae	documented-exemption-candidate	TooSmall is passive
too_small	default	disabled	40	10	junie	mono	9dc2a8f43da5bbae	documented-exemption-candidate	TooSmall has no disabled prop
too_small	default	selected	40	10	junie	mono	9dc2a8f43da5bbae	documented-exemption-candidate	TooSmall is passive
too_small	focused	disabled	40	10	junie	mono	9dc2a8f43da5bbae	documented-exemption-candidate	TooSmall is passive; TooSmall has no disabled prop
too_small	focused	selected	40	10	junie	mono	9dc2a8f43da5bbae	documented-exemption-candidate	TooSmall is passive; TooSmall is passive
too_small	disabled	selected	40	10	junie	mono	9dc2a8f43da5bbae	documented-exemption-candidate	TooSmall has no disabled prop; TooSmall is passive
too_small	default	focused	40	10	junie	truecolor	6c9b7b495157c7c8	documented-exemption-candidate	TooSmall is passive
too_small	default	disabled	40	10	junie	truecolor	6c9b7b495157c7c8	documented-exemption-candidate	TooSmall has no disabled prop
too_small	default	selected	40	10	junie	truecolor	6c9b7b495157c7c8	documented-exemption-candidate	TooSmall is passive
too_small	focused	disabled	40	10	junie	truecolor	6c9b7b495157c7c8	documented-exemption-candidate	TooSmall is passive; TooSmall has no disabled prop
too_small	focused	selected	40	10	junie	truecolor	6c9b7b495157c7c8	documented-exemption-candidate	TooSmall is passive; TooSmall is passive
too_small	disabled	selected	40	10	junie	truecolor	6c9b7b495157c7c8	documented-exemption-candidate	TooSmall has no disabled prop; TooSmall is passive
too_small	default	focused	40	10	paper	mono	5384a23c1a196552	documented-exemption-candidate	TooSmall is passive
too_small	default	disabled	40	10	paper	mono	5384a23c1a196552	documented-exemption-candidate	TooSmall has no disabled prop
too_small	default	selected	40	10	paper	mono	5384a23c1a196552	documented-exemption-candidate	TooSmall is passive
too_small	focused	disabled	40	10	paper	mono	5384a23c1a196552	documented-exemption-candidate	TooSmall is passive; TooSmall has no disabled prop
too_small	focused	selected	40	10	paper	mono	5384a23c1a196552	documented-exemption-candidate	TooSmall is passive; TooSmall is passive
too_small	disabled	selected	40	10	paper	mono	5384a23c1a196552	documented-exemption-candidate	TooSmall has no disabled prop; TooSmall is passive
too_small	default	focused	40	10	paper	truecolor	b257d3ea9a3742e6	documented-exemption-candidate	TooSmall is passive
too_small	default	disabled	40	10	paper	truecolor	b257d3ea9a3742e6	documented-exemption-candidate	TooSmall has no disabled prop
too_small	default	selected	40	10	paper	truecolor	b257d3ea9a3742e6	documented-exemption-candidate	TooSmall is passive
too_small	focused	disabled	40	10	paper	truecolor	b257d3ea9a3742e6	documented-exemption-candidate	TooSmall is passive; TooSmall has no disabled prop
too_small	focused	selected	40	10	paper	truecolor	b257d3ea9a3742e6	documented-exemption-candidate	TooSmall is passive; TooSmall is passive
too_small	disabled	selected	40	10	paper	truecolor	b257d3ea9a3742e6	documented-exemption-candidate	TooSmall has no disabled prop; TooSmall is passive
wizard	default	selected	120	40	junie	mono	493c6b527c9bb2b8	documented-exemption-candidate	Wizard tracks progress
wizard	default	selected	120	40	junie	truecolor	8862c8bb099345a8	documented-exemption-candidate	Wizard tracks progress
wizard	default	selected	120	40	paper	mono	1f9a6c68f96d1140	documented-exemption-candidate	Wizard tracks progress
wizard	default	selected	120	40	paper	truecolor	2a9991ed121f720a	documented-exemption-candidate	Wizard tracks progress
wizard	default	selected	40	10	junie	mono	460f5c1ee441a9e0	documented-exemption-candidate	Wizard tracks progress
wizard	default	selected	40	10	junie	truecolor	570b446a1182977c	documented-exemption-candidate	Wizard tracks progress
wizard	default	selected	40	10	paper	mono	526eebbd75b93920	documented-exemption-candidate	Wizard tracks progress
wizard	default	selected	40	10	paper	truecolor	5e4c34fbf5f8830a	documented-exemption-candidate	Wizard tracks progress
