case	exact_test_key	old_digest	new_digest	changed	classification	text_changed	signal	before_frame	after_frame	before_style_dump	after_style_dump	before_ansi	after_ansi	before_html	after_html
code_editor::disabled	render::components::code_editor::disabled 40 10 junie mono	4effe6c0029f69da	3f3c7aee8777ed26	yes	disabled-editor-state	no	style-only-ambiguous	before/frames/code_editor--disabled__40x10__junie__mono.txt	after/frames/code_editor--disabled__40x10__junie__mono.txt	before/styles/code_editor--disabled__40x10__junie__mono.tsv	after/styles/code_editor--disabled__40x10__junie__mono.tsv	before/ansi/code_editor--disabled__40x10__junie__mono.ansi	after/ansi/code_editor--disabled__40x10__junie__mono.ansi	before/html/code_editor--disabled__40x10__junie__mono.html	after/html/code_editor--disabled__40x10__junie__mono.html
code_editor::disabled	render::components::code_editor::disabled 40 10 junie truecolor	a0a3a2ffbd50cbbe	4006fe588b7d12aa	yes	disabled-editor-state	no	style-only-ambiguous	before/frames/code_editor--disabled__40x10__junie__truecolor.txt	after/frames/code_editor--disabled__40x10__junie__truecolor.txt	before/styles/code_editor--disabled__40x10__junie__truecolor.tsv	after/styles/code_editor--disabled__40x10__junie__truecolor.tsv	before/ansi/code_editor--disabled__40x10__junie__truecolor.ansi	after/ansi/code_editor--disabled__40x10__junie__truecolor.ansi	before/html/code_editor--disabled__40x10__junie__truecolor.html	after/html/code_editor--disabled__40x10__junie__truecolor.html
code_editor::disabled	render::components::code_editor::disabled 40 10 paper mono	247d6fd161110122	c6b533f4a2d7c3d6	yes	disabled-editor-state	no	style-only-ambiguous	before/frames/code_editor--disabled__40x10__paper__mono.txt	after/frames/code_editor--disabled__40x10__paper__mono.txt	before/styles/code_editor--disabled__40x10__paper__mono.tsv	after/styles/code_editor--disabled__40x10__paper__mono.tsv	before/ansi/code_editor--disabled__40x10__paper__mono.ansi	after/ansi/code_editor--disabled__40x10__paper__mono.ansi	before/html/code_editor--disabled__40x10__paper__mono.html	after/html/code_editor--disabled__40x10__paper__mono.html
code_editor::disabled	render::components::code_editor::disabled 40 10 paper truecolor	221e5e3eda930862	5055bf8365bd2e82	yes	disabled-editor-state	no	style-only-ambiguous	before/frames/code_editor--disabled__40x10__paper__truecolor.txt	after/frames/code_editor--disabled__40x10__paper__truecolor.txt	before/styles/code_editor--disabled__40x10__paper__truecolor.tsv	after/styles/code_editor--disabled__40x10__paper__truecolor.tsv	before/ansi/code_editor--disabled__40x10__paper__truecolor.ansi	after/ansi/code_editor--disabled__40x10__paper__truecolor.ansi	before/html/code_editor--disabled__40x10__paper__truecolor.html	after/html/code_editor--disabled__40x10__paper__truecolor.html
completion::focused	render::components::completion::focused 120 40 junie mono	2c52b2cb646f5dd5	d0f1f42b82153e8f	yes	owned-cursor-state	yes	textual-or-layout	before/frames/completion--focused__120x40__junie__mono.txt	after/frames/completion--focused__120x40__junie__mono.txt						
completion::focused	render::components::completion::focused 120 40 junie truecolor	529d0b2b17216132	1a890cdac19284f3	yes	owned-cursor-state	yes	textual-or-layout	before/frames/completion--focused__120x40__junie__truecolor.txt	after/frames/completion--focused__120x40__junie__truecolor.txt						
completion::focused	render::components::completion::focused 120 40 paper mono	f9d6feb332ccd447	bc920cb36b0df7c5	yes	owned-cursor-state	yes	textual-or-layout	before/frames/completion--focused__120x40__paper__mono.txt	after/frames/completion--focused__120x40__paper__mono.txt						
completion::focused	render::components::completion::focused 120 40 paper truecolor	1bde724981c69778	951a568a66ddc8de	yes	owned-cursor-state	yes	textual-or-layout	before/frames/completion--focused__120x40__paper__truecolor.txt	after/frames/completion--focused__120x40__paper__truecolor.txt						
completion::focused	render::components::completion::focused 40 10 junie mono	41fdaff714ab0375	1d3015f5bbed89ff	yes	owned-cursor-state	yes	textual-or-layout	before/frames/completion--focused__40x10__junie__mono.txt	after/frames/completion--focused__40x10__junie__mono.txt						
completion::focused	render::components::completion::focused 40 10 junie truecolor	1f1f796e74ebb572	6ceb5195615cb3c3	yes	owned-cursor-state	yes	textual-or-layout	before/frames/completion--focused__40x10__junie__truecolor.txt	after/frames/completion--focused__40x10__junie__truecolor.txt						
completion::focused	render::components::completion::focused 40 10 paper mono	d24f0ece251a4c37	ca2d8a9990aa8525	yes	owned-cursor-state	yes	textual-or-layout	before/frames/completion--focused__40x10__paper__mono.txt	after/frames/completion--focused__40x10__paper__mono.txt						
completion::focused	render::components::completion::focused 40 10 paper truecolor	d7a41a466fbe82e8	650e8680f7fbc87e	yes	owned-cursor-state	yes	textual-or-layout	before/frames/completion--focused__40x10__paper__truecolor.txt	after/frames/completion--focused__40x10__paper__truecolor.txt						
completion::pressed	render::components::completion::pressed 120 40 junie mono	ebe498e8ebdbda13	6661760525ceacad	yes	owned-cursor-state	yes	textual-or-layout	before/frames/completion--pressed__120x40__junie__mono.txt	after/frames/completion--pressed__120x40__junie__mono.txt						
completion::pressed	render::components::completion::pressed 120 40 junie truecolor	9f4ca9af9726d314	f7b389ebdfb56f5b	yes	owned-cursor-state	yes	textual-or-layout	before/frames/completion--pressed__120x40__junie__truecolor.txt	after/frames/completion--pressed__120x40__junie__truecolor.txt						
completion::pressed	render::components::completion::pressed 120 40 paper mono	d4dcd71c62410cdd	7013081344e1c8e5	yes	owned-cursor-state	yes	textual-or-layout	before/frames/completion--pressed__120x40__paper__mono.txt	after/frames/completion--pressed__120x40__paper__mono.txt						
completion::pressed	render::components::completion::pressed 120 40 paper truecolor	d882a9c7ac011ef9	96e48a9b9c5a511e	yes	owned-cursor-state	yes	textual-or-layout	before/frames/completion--pressed__120x40__paper__truecolor.txt	after/frames/completion--pressed__120x40__paper__truecolor.txt						
completion::pressed	render::components::completion::pressed 40 10 junie mono	46c0a4bc5841cec3	53cc35c39c2b98cd	yes	owned-cursor-state	yes	textual-or-layout	before/frames/completion--pressed__40x10__junie__mono.txt	after/frames/completion--pressed__40x10__junie__mono.txt						
completion::pressed	render::components::completion::pressed 40 10 junie truecolor	648acf049ed32534	d592796ece8d8bab	yes	owned-cursor-state	yes	textual-or-layout	before/frames/completion--pressed__40x10__junie__truecolor.txt	after/frames/completion--pressed__40x10__junie__truecolor.txt						
completion::pressed	render::components::completion::pressed 40 10 paper mono	64d8819fe8a2a01d	77e6189ecd35a265	yes	owned-cursor-state	yes	textual-or-layout	before/frames/completion--pressed__40x10__paper__mono.txt	after/frames/completion--pressed__40x10__paper__mono.txt						
completion::pressed	render::components::completion::pressed 40 10 paper truecolor	bb95328861765ba9	1581d4463c6a37be	yes	owned-cursor-state	yes	textual-or-layout	before/frames/completion--pressed__40x10__paper__truecolor.txt	after/frames/completion--pressed__40x10__paper__truecolor.txt						
completion::selected	render::components::completion::selected 120 40 junie mono	2c52b2cb646f5dd5	f383040025d71b9d	yes	selected-row-marker	yes	textual-or-layout	before/frames/completion--selected__120x40__junie__mono.txt	after/frames/completion--selected__120x40__junie__mono.txt						
completion::selected	render::components::completion::selected 120 40 junie truecolor	529d0b2b17216132	c86abd37711baa7d	yes	selected-row-marker	yes	textual-or-layout	before/frames/completion--selected__120x40__junie__truecolor.txt	after/frames/completion--selected__120x40__junie__truecolor.txt						
completion::selected	render::components::completion::selected 120 40 paper mono	f9d6feb332ccd447	fdb1835355e10907	yes	selected-row-marker	yes	textual-or-layout	before/frames/completion--selected__120x40__paper__mono.txt	after/frames/completion--selected__120x40__paper__mono.txt						
completion::selected	render::components::completion::selected 120 40 paper truecolor	1bde724981c69778	a0a028f6d9b5eb48	yes	selected-row-marker	yes	textual-or-layout	before/frames/completion--selected__120x40__paper__truecolor.txt	after/frames/completion--selected__120x40__paper__truecolor.txt						
completion::selected	render::components::completion::selected 40 10 junie mono	41fdaff714ab0375	4e41be5267225d7d	yes	selected-row-marker	yes	textual-or-layout	before/frames/completion--selected__40x10__junie__mono.txt	after/frames/completion--selected__40x10__junie__mono.txt						
completion::selected	render::components::completion::selected 40 10 junie truecolor	1f1f796e74ebb572	58d67c434c3c1cdd	yes	selected-row-marker	yes	textual-or-layout	before/frames/completion--selected__40x10__junie__truecolor.txt	after/frames/completion--selected__40x10__junie__truecolor.txt						
completion::selected	render::components::completion::selected 40 10 paper mono	d24f0ece251a4c37	6096350552660037	yes	selected-row-marker	yes	textual-or-layout	before/frames/completion--selected__40x10__paper__mono.txt	after/frames/completion--selected__40x10__paper__mono.txt						
completion::selected	render::components::completion::selected 40 10 paper truecolor	d7a41a466fbe82e8	7482eff9a2a8c5d8	yes	selected-row-marker	yes	textual-or-layout	before/frames/completion--selected__40x10__paper__truecolor.txt	after/frames/completion--selected__40x10__paper__truecolor.txt						
context_menu::selected	render::components::context_menu::selected 120 40 junie mono	e6c6987845be0a57	0899613b64e8db7f	yes	selected-row-marker	yes	textual-or-layout	before/frames/context_menu--selected__120x40__junie__mono.txt	after/frames/context_menu--selected__120x40__junie__mono.txt						
context_menu::selected	render::components::context_menu::selected 120 40 junie truecolor	901d2f48c8a112ae	440b4817d3857677	yes	selected-row-marker	yes	textual-or-layout	before/frames/context_menu--selected__120x40__junie__truecolor.txt	after/frames/context_menu--selected__120x40__junie__truecolor.txt						
context_menu::selected	render::components::context_menu::selected 120 40 paper mono	e5b0936552b2ce19	7836a0d193a3e5e9	yes	selected-row-marker	yes	textual-or-layout	before/frames/context_menu--selected__120x40__paper__mono.txt	after/frames/context_menu--selected__120x40__paper__mono.txt						
context_menu::selected	render::components::context_menu::selected 120 40 paper truecolor	a3369cee78664ae0	83c2811b87b3ed8a	yes	selected-row-marker	yes	textual-or-layout	before/frames/context_menu--selected__120x40__paper__truecolor.txt	after/frames/context_menu--selected__120x40__paper__truecolor.txt						
context_menu::selected	render::components::context_menu::selected 40 10 junie mono	f37c624d906d3b07	e669e97b77da4caf	yes	selected-row-marker	yes	textual-or-layout	before/frames/context_menu--selected__40x10__junie__mono.txt	after/frames/context_menu--selected__40x10__junie__mono.txt						
context_menu::selected	render::components::context_menu::selected 40 10 junie truecolor	0713f57b0c11723e	63246d15b17902c7	yes	selected-row-marker	yes	textual-or-layout	before/frames/context_menu--selected__40x10__junie__truecolor.txt	after/frames/context_menu--selected__40x10__junie__truecolor.txt						
context_menu::selected	render::components::context_menu::selected 40 10 paper mono	5b4a1ca147bd9b79	94cba6fc7673c709	yes	selected-row-marker	yes	textual-or-layout	before/frames/context_menu--selected__40x10__paper__mono.txt	after/frames/context_menu--selected__40x10__paper__mono.txt						
context_menu::selected	render::components::context_menu::selected 40 10 paper truecolor	40ee1b43fd794f90	cea041471ee2489a	yes	selected-row-marker	yes	textual-or-layout	before/frames/context_menu--selected__40x10__paper__truecolor.txt	after/frames/context_menu--selected__40x10__paper__truecolor.txt						
dialog::disabled	render::components::dialog::disabled 120 40 junie mono	b737d61b383ec6f5	2d6a3cd4c020d7e5	yes	disabled-actions	no	style-only-ambiguous	before/frames/dialog--disabled__120x40__junie__mono.txt	after/frames/dialog--disabled__120x40__junie__mono.txt	before/styles/dialog--disabled__120x40__junie__mono.tsv	after/styles/dialog--disabled__120x40__junie__mono.tsv	before/ansi/dialog--disabled__120x40__junie__mono.ansi	after/ansi/dialog--disabled__120x40__junie__mono.ansi	before/html/dialog--disabled__120x40__junie__mono.html	after/html/dialog--disabled__120x40__junie__mono.html
dialog::disabled	render::components::dialog::disabled 120 40 junie truecolor	3b3a35187a544472	0b134dfe49fc91dc	yes	disabled-actions	no	style-only-ambiguous	before/frames/dialog--disabled__120x40__junie__truecolor.txt	after/frames/dialog--disabled__120x40__junie__truecolor.txt	before/styles/dialog--disabled__120x40__junie__truecolor.tsv	after/styles/dialog--disabled__120x40__junie__truecolor.tsv	before/ansi/dialog--disabled__120x40__junie__truecolor.ansi	after/ansi/dialog--disabled__120x40__junie__truecolor.ansi	before/html/dialog--disabled__120x40__junie__truecolor.html	after/html/dialog--disabled__120x40__junie__truecolor.html
dialog::disabled	render::components::dialog::disabled 120 40 paper mono	98782672ba8211f1	6e84f6e549134175	yes	disabled-actions	no	style-only-ambiguous	before/frames/dialog--disabled__120x40__paper__mono.txt	after/frames/dialog--disabled__120x40__paper__mono.txt	before/styles/dialog--disabled__120x40__paper__mono.tsv	after/styles/dialog--disabled__120x40__paper__mono.tsv	before/ansi/dialog--disabled__120x40__paper__mono.ansi	after/ansi/dialog--disabled__120x40__paper__mono.ansi	before/html/dialog--disabled__120x40__paper__mono.html	after/html/dialog--disabled__120x40__paper__mono.html
dialog::disabled	render::components::dialog::disabled 120 40 paper truecolor	c32427125f196b4a	9f89355d75801b00	yes	disabled-actions	no	style-only-ambiguous	before/frames/dialog--disabled__120x40__paper__truecolor.txt	after/frames/dialog--disabled__120x40__paper__truecolor.txt	before/styles/dialog--disabled__120x40__paper__truecolor.tsv	after/styles/dialog--disabled__120x40__paper__truecolor.tsv	before/ansi/dialog--disabled__120x40__paper__truecolor.ansi	after/ansi/dialog--disabled__120x40__paper__truecolor.ansi	before/html/dialog--disabled__120x40__paper__truecolor.html	after/html/dialog--disabled__120x40__paper__truecolor.html
dialog::disabled	render::components::dialog::disabled 40 10 junie mono	081728ded55d1575	3ef081624f0f1fa5	yes	disabled-actions	no	style-only-ambiguous	before/frames/dialog--disabled__40x10__junie__mono.txt	after/frames/dialog--disabled__40x10__junie__mono.txt	before/styles/dialog--disabled__40x10__junie__mono.tsv	after/styles/dialog--disabled__40x10__junie__mono.tsv	before/ansi/dialog--disabled__40x10__junie__mono.ansi	after/ansi/dialog--disabled__40x10__junie__mono.ansi	before/html/dialog--disabled__40x10__junie__mono.html	after/html/dialog--disabled__40x10__junie__mono.html
dialog::disabled	render::components::dialog::disabled 40 10 junie truecolor	bca990b4d6367868	36cf11641eca3792	yes	disabled-actions	no	style-only-ambiguous	before/frames/dialog--disabled__40x10__junie__truecolor.txt	after/frames/dialog--disabled__40x10__junie__truecolor.txt	before/styles/dialog--disabled__40x10__junie__truecolor.tsv	after/styles/dialog--disabled__40x10__junie__truecolor.tsv	before/ansi/dialog--disabled__40x10__junie__truecolor.ansi	after/ansi/dialog--disabled__40x10__junie__truecolor.ansi	before/html/dialog--disabled__40x10__junie__truecolor.html	after/html/dialog--disabled__40x10__junie__truecolor.html
dialog::disabled	render::components::dialog::disabled 40 10 paper mono	f9fb14d2886dbe31	9033e3ce2e9ff745	yes	disabled-actions	no	style-only-ambiguous	before/frames/dialog--disabled__40x10__paper__mono.txt	after/frames/dialog--disabled__40x10__paper__mono.txt	before/styles/dialog--disabled__40x10__paper__mono.tsv	after/styles/dialog--disabled__40x10__paper__mono.tsv	before/ansi/dialog--disabled__40x10__paper__mono.ansi	after/ansi/dialog--disabled__40x10__paper__mono.ansi	before/html/dialog--disabled__40x10__paper__mono.html	after/html/dialog--disabled__40x10__paper__mono.html
dialog::disabled	render::components::dialog::disabled 40 10 paper truecolor	37273c6e6232fa10	5d6911160dfe8ed6	yes	disabled-actions	no	style-only-ambiguous	before/frames/dialog--disabled__40x10__paper__truecolor.txt	after/frames/dialog--disabled__40x10__paper__truecolor.txt	before/styles/dialog--disabled__40x10__paper__truecolor.tsv	after/styles/dialog--disabled__40x10__paper__truecolor.tsv	before/ansi/dialog--disabled__40x10__paper__truecolor.ansi	after/ansi/dialog--disabled__40x10__paper__truecolor.ansi	before/html/dialog--disabled__40x10__paper__truecolor.html	after/html/dialog--disabled__40x10__paper__truecolor.html
filter_list::focused	render::components::filter_list::focused 120 40 junie mono	6449c6c04aeb76e9	3ea8f014da1290b7	yes	owned-cursor-state	yes	textual-or-layout	before/frames/filter_list--focused__120x40__junie__mono.txt	after/frames/filter_list--focused__120x40__junie__mono.txt						
filter_list::focused	render::components::filter_list::focused 120 40 junie truecolor	917af23a272149b8	3c317d296cfa0209	yes	owned-cursor-state	yes	textual-or-layout	before/frames/filter_list--focused__120x40__junie__truecolor.txt	after/frames/filter_list--focused__120x40__junie__truecolor.txt						
filter_list::focused	render::components::filter_list::focused 120 40 paper mono	e37c24926f0b135b	70d7a1fdf11f1fd1	yes	owned-cursor-state	yes	textual-or-layout	before/frames/filter_list--focused__120x40__paper__mono.txt	after/frames/filter_list--focused__120x40__paper__mono.txt						
filter_list::focused	render::components::filter_list::focused 120 40 paper truecolor	e7daa7763ab26b60	924b05fc856d5972	yes	owned-cursor-state	yes	textual-or-layout	before/frames/filter_list--focused__120x40__paper__truecolor.txt	after/frames/filter_list--focused__120x40__paper__truecolor.txt						
filter_list::focused	render::components::filter_list::focused 40 10 junie mono	d09db330fe7eb549	d8ce4f5e833d9997	yes	owned-cursor-state	yes	textual-or-layout	before/frames/filter_list--focused__40x10__junie__mono.txt	after/frames/filter_list--focused__40x10__junie__mono.txt						
filter_list::focused	render::components::filter_list::focused 40 10 junie truecolor	58377252918b9118	1c3e7cb3e8ccbba9	yes	owned-cursor-state	yes	textual-or-layout	before/frames/filter_list--focused__40x10__junie__truecolor.txt	after/frames/filter_list--focused__40x10__junie__truecolor.txt						
filter_list::focused	render::components::filter_list::focused 40 10 paper mono	0c1a4adfb09fc63b	c6467f4ab6dc3a31	yes	owned-cursor-state	yes	textual-or-layout	before/frames/filter_list--focused__40x10__paper__mono.txt	after/frames/filter_list--focused__40x10__paper__mono.txt						
filter_list::focused	render::components::filter_list::focused 40 10 paper truecolor	afa33f2b36594b00	eb0989a7b09b4812	yes	owned-cursor-state	yes	textual-or-layout	before/frames/filter_list--focused__40x10__paper__truecolor.txt	after/frames/filter_list--focused__40x10__paper__truecolor.txt						
filter_list::pressed	render::components::filter_list::pressed 120 40 junie mono	6449c6c04aeb76e9	167afdc6e2146119	yes	owned-cursor-state	yes	textual-or-layout	before/frames/filter_list--pressed__120x40__junie__mono.txt	after/frames/filter_list--pressed__120x40__junie__mono.txt						
filter_list::pressed	render::components::filter_list::pressed 120 40 junie truecolor	917af23a272149b8	a4cc19f8d477e695	yes	owned-cursor-state	yes	textual-or-layout	before/frames/filter_list--pressed__120x40__junie__truecolor.txt	after/frames/filter_list--pressed__120x40__junie__truecolor.txt						
filter_list::pressed	render::components::filter_list::pressed 120 40 paper mono	e37c24926f0b135b	748a76899516c9b5	yes	owned-cursor-state	yes	textual-or-layout	before/frames/filter_list--pressed__120x40__paper__mono.txt	after/frames/filter_list--pressed__120x40__paper__mono.txt						
filter_list::pressed	render::components::filter_list::pressed 120 40 paper truecolor	e7daa7763ab26b60	5b3189219f13cdce	yes	owned-cursor-state	yes	textual-or-layout	before/frames/filter_list--pressed__120x40__paper__truecolor.txt	after/frames/filter_list--pressed__120x40__paper__truecolor.txt						
