# phase	case	exact_test_key	digest	classification	frame
before	code_editor::disabled	render::components::code_editor::disabled 120 40 paper mono	fac2db84f7ce6162	disabled-editor-state	frames/code_editor--disabled__120x40__paper__mono.txt
before	code_editor::disabled	render::components::code_editor::disabled 40 10 paper mono	247d6fd161110122	disabled-editor-state	frames/code_editor--disabled__40x10__paper__mono.txt
before	completion::pressed	render::components::completion::pressed 120 40 junie truecolor	9f4ca9af9726d314	owned-cursor-state	frames/completion--pressed__120x40__junie__truecolor.txt
before	completion::pressed	render::components::completion::pressed 40 10 junie truecolor	648acf049ed32534	owned-cursor-state	frames/completion--pressed__40x10__junie__truecolor.txt
before	completion::pressed	render::components::completion::pressed 120 40 junie mono	ebe498e8ebdbda13	owned-cursor-state	frames/completion--pressed__120x40__junie__mono.txt
before	completion::pressed	render::components::completion::pressed 40 10 junie mono	46c0a4bc5841cec3	owned-cursor-state	frames/completion--pressed__40x10__junie__mono.txt
before	completion::pressed	render::components::completion::pressed 120 40 paper truecolor	d882a9c7ac011ef9	owned-cursor-state	frames/completion--pressed__120x40__paper__truecolor.txt
before	completion::pressed	render::components::completion::pressed 40 10 paper truecolor	bb95328861765ba9	owned-cursor-state	frames/completion--pressed__40x10__paper__truecolor.txt
before	completion::pressed	render::components::completion::pressed 120 40 paper mono	d4dcd71c62410cdd	owned-cursor-state	frames/completion--pressed__120x40__paper__mono.txt
before	completion::pressed	render::components::completion::pressed 40 10 paper mono	64d8819fe8a2a01d	owned-cursor-state	frames/completion--pressed__40x10__paper__mono.txt
before	completion::selected	render::components::completion::selected 120 40 junie truecolor	529d0b2b17216132	selected-row-marker	frames/completion--selected__120x40__junie__truecolor.txt
before	completion::selected	render::components::completion::selected 40 10 junie truecolor	1f1f796e74ebb572	selected-row-marker	frames/completion--selected__40x10__junie__truecolor.txt
before	completion::selected	render::components::completion::selected 120 40 junie mono	2c52b2cb646f5dd5	selected-row-marker	frames/completion--selected__120x40__junie__mono.txt
before	completion::selected	render::components::completion::selected 40 10 junie mono	41fdaff714ab0375	selected-row-marker	frames/completion--selected__40x10__junie__mono.txt
before	completion::selected	render::components::completion::selected 120 40 paper truecolor	1bde724981c69778	selected-row-marker	frames/completion--selected__120x40__paper__truecolor.txt
before	completion::selected	render::components::completion::selected 40 10 paper truecolor	d7a41a466fbe82e8	selected-row-marker	frames/completion--selected__40x10__paper__truecolor.txt
before	completion::selected	render::components::completion::selected 120 40 paper mono	f9d6feb332ccd447	selected-row-marker	frames/completion--selected__120x40__paper__mono.txt
before	completion::selected	render::components::completion::selected 40 10 paper mono	d24f0ece251a4c37	selected-row-marker	frames/completion--selected__40x10__paper__mono.txt
before	completion::focused	render::components::completion::focused 120 40 junie truecolor	529d0b2b17216132	owned-cursor-state	frames/completion--focused__120x40__junie__truecolor.txt
before	completion::focused	render::components::completion::focused 40 10 junie truecolor	1f1f796e74ebb572	owned-cursor-state	frames/completion--focused__40x10__junie__truecolor.txt
before	completion::focused	render::components::completion::focused 120 40 junie mono	2c52b2cb646f5dd5	owned-cursor-state	frames/completion--focused__120x40__junie__mono.txt
before	completion::focused	render::components::completion::focused 40 10 junie mono	41fdaff714ab0375	owned-cursor-state	frames/completion--focused__40x10__junie__mono.txt
before	completion::focused	render::components::completion::focused 120 40 paper truecolor	1bde724981c69778	owned-cursor-state	frames/completion--focused__120x40__paper__truecolor.txt
before	completion::focused	render::components::completion::focused 40 10 paper truecolor	d7a41a466fbe82e8	owned-cursor-state	frames/completion--focused__40x10__paper__truecolor.txt
before	completion::focused	render::components::completion::focused 120 40 paper mono	f9d6feb332ccd447	owned-cursor-state	frames/completion--focused__120x40__paper__mono.txt
before	completion::focused	render::components::completion::focused 40 10 paper mono	d24f0ece251a4c37	owned-cursor-state	frames/completion--focused__40x10__paper__mono.txt
before	dialog::disabled	render::components::dialog::disabled 120 40 junie truecolor	3b3a35187a544472	disabled-actions	frames/dialog--disabled__120x40__junie__truecolor.txt
before	dialog::disabled	render::components::dialog::disabled 40 10 junie truecolor	bca990b4d6367868	disabled-actions	frames/dialog--disabled__40x10__junie__truecolor.txt
before	dialog::disabled	render::components::dialog::disabled 120 40 junie mono	b737d61b383ec6f5	disabled-actions	frames/dialog--disabled__120x40__junie__mono.txt
before	dialog::disabled	render::components::dialog::disabled 40 10 junie mono	081728ded55d1575	disabled-actions	frames/dialog--disabled__40x10__junie__mono.txt
before	dialog::disabled	render::components::dialog::disabled 120 40 paper truecolor	c32427125f196b4a	disabled-actions	frames/dialog--disabled__120x40__paper__truecolor.txt
before	dialog::disabled	render::components::dialog::disabled 40 10 paper truecolor	37273c6e6232fa10	disabled-actions	frames/dialog--disabled__40x10__paper__truecolor.txt
before	dialog::disabled	render::components::dialog::disabled 120 40 paper mono	98782672ba8211f1	disabled-actions	frames/dialog--disabled__120x40__paper__mono.txt
before	dialog::disabled	render::components::dialog::disabled 40 10 paper mono	f9fb14d2886dbe31	disabled-actions	frames/dialog--disabled__40x10__paper__mono.txt
before	context_menu::selected	render::components::context_menu::selected 120 40 junie truecolor	901d2f48c8a112ae	selected-row-marker	frames/context_menu--selected__120x40__junie__truecolor.txt
before	context_menu::selected	render::components::context_menu::selected 40 10 junie truecolor	0713f57b0c11723e	selected-row-marker	frames/context_menu--selected__40x10__junie__truecolor.txt
before	context_menu::selected	render::components::context_menu::selected 120 40 junie mono	e6c6987845be0a57	selected-row-marker	frames/context_menu--selected__120x40__junie__mono.txt
before	context_menu::selected	render::components::context_menu::selected 40 10 junie mono	f37c624d906d3b07	selected-row-marker	frames/context_menu--selected__40x10__junie__mono.txt
before	context_menu::selected	render::components::context_menu::selected 120 40 paper truecolor	a3369cee78664ae0	selected-row-marker	frames/context_menu--selected__120x40__paper__truecolor.txt
before	context_menu::selected	render::components::context_menu::selected 40 10 paper truecolor	40ee1b43fd794f90	selected-row-marker	frames/context_menu--selected__40x10__paper__truecolor.txt
before	context_menu::selected	render::components::context_menu::selected 120 40 paper mono	e5b0936552b2ce19	selected-row-marker	frames/context_menu--selected__120x40__paper__mono.txt
before	context_menu::selected	render::components::context_menu::selected 40 10 paper mono	5b4a1ca147bd9b79	selected-row-marker	frames/context_menu--selected__40x10__paper__mono.txt
before	filter_list::focused	render::components::filter_list::focused 120 40 junie truecolor	917af23a272149b8	owned-cursor-state	frames/filter_list--focused__120x40__junie__truecolor.txt
before	filter_list::focused	render::components::filter_list::focused 40 10 junie truecolor	58377252918b9118	owned-cursor-state	frames/filter_list--focused__40x10__junie__truecolor.txt
before	filter_list::focused	render::components::filter_list::focused 120 40 junie mono	6449c6c04aeb76e9	owned-cursor-state	frames/filter_list--focused__120x40__junie__mono.txt
before	filter_list::focused	render::components::filter_list::focused 40 10 junie mono	d09db330fe7eb549	owned-cursor-state	frames/filter_list--focused__40x10__junie__mono.txt
before	filter_list::focused	render::components::filter_list::focused 120 40 paper truecolor	e7daa7763ab26b60	owned-cursor-state	frames/filter_list--focused__120x40__paper__truecolor.txt
before	filter_list::focused	render::components::filter_list::focused 40 10 paper truecolor	afa33f2b36594b00	owned-cursor-state	frames/filter_list--focused__40x10__paper__truecolor.txt
before	filter_list::focused	render::components::filter_list::focused 120 40 paper mono	e37c24926f0b135b	owned-cursor-state	frames/filter_list--focused__120x40__paper__mono.txt
before	filter_list::focused	render::components::filter_list::focused 40 10 paper mono	0c1a4adfb09fc63b	owned-cursor-state	frames/filter_list--focused__40x10__paper__mono.txt
before	filter_list::pressed	render::components::filter_list::pressed 120 40 junie truecolor	917af23a272149b8	owned-cursor-state	frames/filter_list--pressed__120x40__junie__truecolor.txt
before	filter_list::pressed	render::components::filter_list::pressed 40 10 junie truecolor	58377252918b9118	owned-cursor-state	frames/filter_list--pressed__40x10__junie__truecolor.txt
before	filter_list::pressed	render::components::filter_list::pressed 120 40 junie mono	6449c6c04aeb76e9	owned-cursor-state	frames/filter_list--pressed__120x40__junie__mono.txt
before	filter_list::pressed	render::components::filter_list::pressed 40 10 junie mono	d09db330fe7eb549	owned-cursor-state	frames/filter_list--pressed__40x10__junie__mono.txt
before	filter_list::pressed	render::components::filter_list::pressed 120 40 paper truecolor	e7daa7763ab26b60	owned-cursor-state	frames/filter_list--pressed__120x40__paper__truecolor.txt
before	filter_list::pressed	render::components::filter_list::pressed 40 10 paper truecolor	afa33f2b36594b00	owned-cursor-state	frames/filter_list--pressed__40x10__paper__truecolor.txt
before	filter_list::pressed	render::components::filter_list::pressed 120 40 paper mono	e37c24926f0b135b	owned-cursor-state	frames/filter_list--pressed__120x40__paper__mono.txt
before	filter_list::pressed	render::components::filter_list::pressed 40 10 paper mono	0c1a4adfb09fc63b	owned-cursor-state	frames/filter_list--pressed__40x10__paper__mono.txt
before	filter_list::selected	render::components::filter_list::selected 120 40 junie truecolor	b7da71dfea121f8c	selected-row-marker	frames/filter_list--selected__120x40__junie__truecolor.txt
before	filter_list::selected	render::components::filter_list::selected 40 10 junie truecolor	97507dd1ee80de0c	selected-row-marker	frames/filter_list--selected__40x10__junie__truecolor.txt
before	filter_list::selected	render::components::filter_list::selected 120 40 junie mono	5173a3946a6f6d5d	selected-row-marker	frames/filter_list--selected__120x40__junie__mono.txt
before	filter_list::selected	render::components::filter_list::selected 40 10 junie mono	d1164217669aa67d	selected-row-marker	frames/filter_list--selected__40x10__junie__mono.txt
before	filter_list::selected	render::components::filter_list::selected 120 40 paper truecolor	ca34396211af4364	selected-row-marker	frames/filter_list--selected__120x40__paper__truecolor.txt
before	filter_list::selected	render::components::filter_list::selected 40 10 paper truecolor	fcd4e0fb44859354	selected-row-marker	frames/filter_list--selected__40x10__paper__truecolor.txt
before	filter_list::selected	render::components::filter_list::selected 120 40 paper mono	8a92f44a0e7b1e2f	selected-row-marker	frames/filter_list--selected__120x40__paper__mono.txt
before	filter_list::selected	render::components::filter_list::selected 40 10 paper mono	c04b8c0f1387c74f	selected-row-marker	frames/filter_list--selected__40x10__paper__mono.txt
before	menu_bar::disabled	render::components::menu_bar::disabled 120 40 junie truecolor	5cae5c8506ff7113	disabled-menu-title	frames/menu_bar--disabled__120x40__junie__truecolor.txt
before	menu_bar::disabled	render::components::menu_bar::disabled 40 10 junie truecolor	f50445ec8b64db53	disabled-menu-title	frames/menu_bar--disabled__40x10__junie__truecolor.txt
before	menu_bar::disabled	render::components::menu_bar::disabled 120 40 junie mono	ee5d27b03b18dbb3	disabled-menu-title	frames/menu_bar--disabled__120x40__junie__mono.txt
before	menu_bar::disabled	render::components::menu_bar::disabled 40 10 junie mono	12b9a851f9af4d93	disabled-menu-title	frames/menu_bar--disabled__40x10__junie__mono.txt
before	menu_bar::disabled	render::components::menu_bar::disabled 120 40 paper truecolor	7326495bdac3a26f	disabled-menu-title	frames/menu_bar--disabled__120x40__paper__truecolor.txt
before	menu_bar::disabled	render::components::menu_bar::disabled 40 10 paper truecolor	0d6c0a069c56e61f	disabled-menu-title	frames/menu_bar--disabled__40x10__paper__truecolor.txt
before	menu_bar::disabled	render::components::menu_bar::disabled 120 40 paper mono	fd2495cb9a5e26ab	disabled-menu-title	frames/menu_bar--disabled__120x40__paper__mono.txt
before	menu_bar::disabled	render::components::menu_bar::disabled 40 10 paper mono	30ec7711c4af9f0b	disabled-menu-title	frames/menu_bar--disabled__40x10__paper__mono.txt
before	list::pressed	render::components::list::pressed 120 40 junie truecolor	d0e89104e36aa2ea	owned-cursor-state	frames/list--pressed__120x40__junie__truecolor.txt
before	list::pressed	render::components::list::pressed 40 10 junie truecolor	7a673016b0ed65aa	owned-cursor-state	frames/list--pressed__40x10__junie__truecolor.txt
before	list::pressed	render::components::list::pressed 120 40 junie mono	cb5e7c9046398305	owned-cursor-state	frames/list--pressed__120x40__junie__mono.txt
before	list::pressed	render::components::list::pressed 40 10 junie mono	7f93e89c2dddc765	owned-cursor-state	frames/list--pressed__40x10__junie__mono.txt
before	list::pressed	render::components::list::pressed 120 40 paper truecolor	3e524d83e9dfe491	owned-cursor-state	frames/list--pressed__120x40__paper__truecolor.txt
before	list::pressed	render::components::list::pressed 40 10 paper truecolor	d5f14e0f54f98a11	owned-cursor-state	frames/list--pressed__40x10__paper__truecolor.txt
before	list::pressed	render::components::list::pressed 120 40 paper mono	f2ce0cf198981d97	owned-cursor-state	frames/list--pressed__120x40__paper__mono.txt
before	list::pressed	render::components::list::pressed 40 10 paper mono	d3717338bef62977	owned-cursor-state	frames/list--pressed__40x10__paper__mono.txt
before	list::focused	render::components::list::focused 120 40 junie truecolor	ce3be201fd5894f6	owned-cursor-state	frames/list--focused__120x40__junie__truecolor.txt
before	list::focused	render::components::list::focused 40 10 junie truecolor	4e5dee5a5d3d3a76	owned-cursor-state	frames/list--focused__40x10__junie__truecolor.txt
before	list::focused	render::components::list::focused 120 40 junie mono	164c36b18586726f	owned-cursor-state	frames/list--focused__120x40__junie__mono.txt
before	list::focused	render::components::list::focused 40 10 junie mono	deac25911bc9718f	owned-cursor-state	frames/list--focused__40x10__junie__mono.txt
before	list::focused	render::components::list::focused 120 40 paper truecolor	82e97d15fc758a0e	owned-cursor-state	frames/list--focused__120x40__paper__truecolor.txt
before	list::focused	render::components::list::focused 40 10 paper truecolor	85d6dbd488cef51e	owned-cursor-state	frames/list--focused__40x10__paper__truecolor.txt
before	list::focused	render::components::list::focused 120 40 paper mono	73efdde5cdb3a6c5	owned-cursor-state	frames/list--focused__120x40__paper__mono.txt
before	list::focused	render::components::list::focused 40 10 paper mono	447bcd08741e2165	owned-cursor-state	frames/list--focused__40x10__paper__mono.txt
before	list::disabled	render::components::list::disabled 120 40 junie truecolor	ce3be201fd5894f6	disabled-items	frames/list--disabled__120x40__junie__truecolor.txt
before	list::disabled	render::components::list::disabled 40 10 junie truecolor	4e5dee5a5d3d3a76	disabled-items	frames/list--disabled__40x10__junie__truecolor.txt
before	list::disabled	render::components::list::disabled 120 40 junie mono	164c36b18586726f	disabled-items	frames/list--disabled__120x40__junie__mono.txt
before	list::disabled	render::components::list::disabled 40 10 junie mono	deac25911bc9718f	disabled-items	frames/list--disabled__40x10__junie__mono.txt
before	list::disabled	render::components::list::disabled 120 40 paper truecolor	82e97d15fc758a0e	disabled-items	frames/list--disabled__120x40__paper__truecolor.txt
before	list::disabled	render::components::list::disabled 40 10 paper truecolor	85d6dbd488cef51e	disabled-items	frames/list--disabled__40x10__paper__truecolor.txt
before	list::disabled	render::components::list::disabled 120 40 paper mono	73efdde5cdb3a6c5	disabled-items	frames/list--disabled__120x40__paper__mono.txt
before	list::disabled	render::components::list::disabled 40 10 paper mono	447bcd08741e2165	disabled-items	frames/list--disabled__40x10__paper__mono.txt
before	menu_bar::selected	render::components::menu_bar::selected 120 40 junie truecolor	5cae5c8506ff7113	selected-menu-title-marker	frames/menu_bar--selected__120x40__junie__truecolor.txt
before	menu_bar::selected	render::components::menu_bar::selected 40 10 junie truecolor	f50445ec8b64db53	selected-menu-title-marker	frames/menu_bar--selected__40x10__junie__truecolor.txt
before	menu_bar::selected	render::components::menu_bar::selected 120 40 junie mono	ee5d27b03b18dbb3	selected-menu-title-marker	frames/menu_bar--selected__120x40__junie__mono.txt
before	menu_bar::selected	render::components::menu_bar::selected 40 10 junie mono	12b9a851f9af4d93	selected-menu-title-marker	frames/menu_bar--selected__40x10__junie__mono.txt
before	menu_bar::selected	render::components::menu_bar::selected 120 40 paper truecolor	7326495bdac3a26f	selected-menu-title-marker	frames/menu_bar--selected__120x40__paper__truecolor.txt
before	menu_bar::selected	render::components::menu_bar::selected 40 10 paper truecolor	0d6c0a069c56e61f	selected-menu-title-marker	frames/menu_bar--selected__40x10__paper__truecolor.txt
before	menu_bar::selected	render::components::menu_bar::selected 120 40 paper mono	fd2495cb9a5e26ab	selected-menu-title-marker	frames/menu_bar--selected__120x40__paper__mono.txt
before	menu_bar::selected	render::components::menu_bar::selected 40 10 paper mono	30ec7711c4af9f0b	selected-menu-title-marker	frames/menu_bar--selected__40x10__paper__mono.txt
before	nav_list::focused	render::components::nav_list::focused 120 40 junie truecolor	aa170fa48c7bff95	owned-cursor-state	frames/nav_list--focused__120x40__junie__truecolor.txt
before	nav_list::focused	render::components::nav_list::focused 40 10 junie truecolor	c1dfdac7373c2195	owned-cursor-state	frames/nav_list--focused__40x10__junie__truecolor.txt
before	nav_list::focused	render::components::nav_list::focused 120 40 junie mono	3edf5c964f3d7e70	owned-cursor-state	frames/nav_list--focused__120x40__junie__mono.txt
before	nav_list::focused	render::components::nav_list::focused 40 10 junie mono	613c729105191690	owned-cursor-state	frames/nav_list--focused__40x10__junie__mono.txt
before	nav_list::focused	render::components::nav_list::focused 120 40 paper truecolor	1e4bf4714984fc83	owned-cursor-state	frames/nav_list--focused__120x40__paper__truecolor.txt
before	nav_list::focused	render::components::nav_list::focused 40 10 paper truecolor	2734b2396e1dd5d3	owned-cursor-state	frames/nav_list--focused__40x10__paper__truecolor.txt
before	nav_list::focused	render::components::nav_list::focused 120 40 paper mono	8e51cb4ea971312e	owned-cursor-state	frames/nav_list--focused__120x40__paper__mono.txt
before	nav_list::focused	render::components::nav_list::focused 40 10 paper mono	2f75b81b553a8ece	owned-cursor-state	frames/nav_list--focused__40x10__paper__mono.txt
before	nav_list::pressed	render::components::nav_list::pressed 120 40 junie truecolor	49fcb62bf25e1aa1	owned-cursor-state	frames/nav_list--pressed__120x40__junie__truecolor.txt
before	nav_list::pressed	render::components::nav_list::pressed 40 10 junie truecolor	51b1ce9c9f6961e1	owned-cursor-state	frames/nav_list--pressed__40x10__junie__truecolor.txt
before	nav_list::pressed	render::components::nav_list::pressed 120 40 junie mono	d3726f43d9cf7856	owned-cursor-state	frames/nav_list--pressed__120x40__junie__mono.txt
before	nav_list::pressed	render::components::nav_list::pressed 40 10 junie mono	aabd8a0f4ff229b6	owned-cursor-state	frames/nav_list--pressed__40x10__junie__mono.txt
before	nav_list::pressed	render::components::nav_list::pressed 120 40 paper truecolor	3aa06624efd9ddcb	owned-cursor-state	frames/nav_list--pressed__120x40__paper__truecolor.txt
before	nav_list::pressed	render::components::nav_list::pressed 40 10 paper truecolor	80b4214a0332a62b	owned-cursor-state	frames/nav_list--pressed__40x10__paper__truecolor.txt
before	nav_list::pressed	render::components::nav_list::pressed 120 40 paper mono	42df346c389d6f62	owned-cursor-state	frames/nav_list--pressed__120x40__paper__mono.txt
before	nav_list::pressed	render::components::nav_list::pressed 40 10 paper mono	30e8f7b5f8165f42	owned-cursor-state	frames/nav_list--pressed__40x10__paper__mono.txt
before	picker::focused	render::components::picker::focused 120 40 junie truecolor	e86c596e8f67992e	owned-cursor-state	frames/picker--focused__120x40__junie__truecolor.txt
before	picker::focused	render::components::picker::focused 40 10 junie truecolor	5e9e8059097fa47a	owned-cursor-state	frames/picker--focused__40x10__junie__truecolor.txt
before	picker::focused	render::components::picker::focused 120 40 junie mono	3b3e3c128e5a6a0d	owned-cursor-state	frames/picker--focused__120x40__junie__mono.txt
before	picker::focused	render::components::picker::focused 40 10 junie mono	e71f4fbb98c0629d	owned-cursor-state	frames/picker--focused__40x10__junie__mono.txt
before	picker::focused	render::components::picker::focused 120 40 paper truecolor	d74a1161bf34e69e	owned-cursor-state	frames/picker--focused__120x40__paper__truecolor.txt
before	picker::focused	render::components::picker::focused 40 10 paper truecolor	c65062169bcf1fc2	owned-cursor-state	frames/picker--focused__40x10__paper__truecolor.txt
before	picker::focused	render::components::picker::focused 120 40 paper mono	a8252482ad8025bb	owned-cursor-state	frames/picker--focused__120x40__paper__mono.txt
before	picker::focused	render::components::picker::focused 40 10 paper mono	d3e9fcf66ea92fbb	owned-cursor-state	frames/picker--focused__40x10__paper__mono.txt
before	picker::pressed	render::components::picker::pressed 120 40 junie truecolor	e86c596e8f67992e	owned-cursor-state	frames/picker--pressed__120x40__junie__truecolor.txt
before	picker::pressed	render::components::picker::pressed 40 10 junie truecolor	5e9e8059097fa47a	owned-cursor-state	frames/picker--pressed__40x10__junie__truecolor.txt
before	picker::pressed	render::components::picker::pressed 120 40 junie mono	3b3e3c128e5a6a0d	owned-cursor-state	frames/picker--pressed__120x40__junie__mono.txt
before	picker::pressed	render::components::picker::pressed 40 10 junie mono	e71f4fbb98c0629d	owned-cursor-state	frames/picker--pressed__40x10__junie__mono.txt
before	picker::pressed	render::components::picker::pressed 120 40 paper truecolor	d74a1161bf34e69e	owned-cursor-state	frames/picker--pressed__120x40__paper__truecolor.txt
before	picker::pressed	render::components::picker::pressed 40 10 paper truecolor	c65062169bcf1fc2	owned-cursor-state	frames/picker--pressed__40x10__paper__truecolor.txt
before	picker::pressed	render::components::picker::pressed 120 40 paper mono	a8252482ad8025bb	owned-cursor-state	frames/picker--pressed__120x40__paper__mono.txt
before	picker::pressed	render::components::picker::pressed 40 10 paper mono	d3e9fcf66ea92fbb	owned-cursor-state	frames/picker--pressed__40x10__paper__mono.txt
before	picker::selected	render::components::picker::selected 120 40 junie truecolor	9b37264df946abc8	selected-row-marker	frames/picker--selected__120x40__junie__truecolor.txt
before	picker::selected	render::components::picker::selected 40 10 junie truecolor	94688363474c2f78	selected-row-marker	frames/picker--selected__40x10__junie__truecolor.txt
before	picker::selected	render::components::picker::selected 120 40 junie mono	b3ae92858be43071	selected-row-marker	frames/picker--selected__120x40__junie__mono.txt
before	picker::selected	render::components::picker::selected 40 10 junie mono	f74d37210e531a91	selected-row-marker	frames/picker--selected__40x10__junie__mono.txt
before	picker::selected	render::components::picker::selected 120 40 paper truecolor	96876118d6a26b7c	selected-row-marker	frames/picker--selected__120x40__paper__truecolor.txt
before	picker::selected	render::components::picker::selected 40 10 paper truecolor	91b8158edc253e0c	selected-row-marker	frames/picker--selected__40x10__paper__truecolor.txt
before	picker::selected	render::components::picker::selected 120 40 paper mono	84f14628077bc8c7	selected-row-marker	frames/picker--selected__120x40__paper__mono.txt
before	picker::selected	render::components::picker::selected 40 10 paper mono	b659d32c315ba277	selected-row-marker	frames/picker--selected__40x10__paper__mono.txt
before	picker_chain::selected	render::components::picker_chain::selected 120 40 junie truecolor	b7081733e2f45ede	selected-stage-state	frames/picker_chain--selected__120x40__junie__truecolor.txt
before	picker_chain::selected	render::components::picker_chain::selected 40 10 junie truecolor	cb7c93a6d76088de	selected-stage-state	frames/picker_chain--selected__40x10__junie__truecolor.txt
before	picker_chain::selected	render::components::picker_chain::selected 120 40 junie mono	79a4feb79184f0d2	selected-stage-state	frames/picker_chain--selected__120x40__junie__mono.txt
before	picker_chain::selected	render::components::picker_chain::selected 40 10 junie mono	3b157164d06fad32	selected-stage-state	frames/picker_chain--selected__40x10__junie__mono.txt
before	picker_chain::selected	render::components::picker_chain::selected 120 40 paper truecolor	fbba09714c4ed84c	selected-stage-state	frames/picker_chain--selected__120x40__paper__truecolor.txt
before	picker_chain::selected	render::components::picker_chain::selected 40 10 paper truecolor	18834e6a4d8ffe3c	selected-stage-state	frames/picker_chain--selected__40x10__paper__truecolor.txt
before	picker_chain::selected	render::components::picker_chain::selected 120 40 paper mono	ed1bddc828302a72	selected-stage-state	frames/picker_chain--selected__120x40__paper__mono.txt
before	picker_chain::selected	render::components::picker_chain::selected 40 10 paper mono	ace67f346e0f67d2	selected-stage-state	frames/picker_chain--selected__40x10__paper__mono.txt
before	radio_group::focused	render::components::radio_group::focused 120 40 junie truecolor	57c4e8ba8931346e	owned-cursor-state	frames/radio_group--focused__120x40__junie__truecolor.txt
before	radio_group::focused	render::components::radio_group::focused 40 10 junie truecolor	3c36518edf6682ae	owned-cursor-state	frames/radio_group--focused__40x10__junie__truecolor.txt
before	radio_group::focused	render::components::radio_group::focused 120 40 junie mono	23253cfc778734b7	owned-cursor-state	frames/radio_group--focused__120x40__junie__mono.txt
before	radio_group::focused	render::components::radio_group::focused 40 10 junie mono	783665ea3658b177	owned-cursor-state	frames/radio_group--focused__40x10__junie__mono.txt
before	radio_group::focused	render::components::radio_group::focused 120 40 paper truecolor	d080a80f269c3da2	owned-cursor-state	frames/radio_group--focused__120x40__paper__truecolor.txt
before	radio_group::focused	render::components::radio_group::focused 40 10 paper truecolor	1ad944db4e336262	owned-cursor-state	frames/radio_group--focused__40x10__paper__truecolor.txt
before	radio_group::focused	render::components::radio_group::focused 120 40 paper mono	ec7745f70f85f805	owned-cursor-state	frames/radio_group--focused__120x40__paper__mono.txt
