id	source	status	contract_or_disposition	rejected_or_superseded	proof_and_current_work
HL-59-INVALIDATE	14bca4a3 §59	accepted	Caller invalidates retry/reset/interior reorder/regression; frontier() explicit O(n); draw O(viewport) with stamps	Claim every model access forbidden outside viewport; undetectable in-place edits auto-reconciled	Same-length interior changes plus invalidate; deterministic counts outside PERF_STRICT
HL-60-MARKER	a1759b2a §60	accepted	Tree chosen ItemKey supplies SELECTED; reserved post-disclosure marker cell; slots honor Set/Clear/Inherit	ACTIVE/CHECKED substitute; fixture/row painter owns default chosen marker; extra pointer target	Mono distinction, stable label coordinate, reorder, clear/replacement and region equality against oracle
HL-61-SCHEMA	a1759b2a §61	accepted	Grid columns sole schema; GridModel requires row_count/row_key/cell; cell Option for structural holes	Associated Row; col_count; deprecated shims	External three-method compile witness; AST exact trait gate
HL-61-RAGGED	a1759b2a §61	accepted	Missing cells draw/copy empty with rectangular cursor but never decor/actions/editor hooks	Sentinel text for missing cells; invalid hook calls	Panic-on-invalid ragged hooks across draw/measure/copy/navigation/sort/edit; MAX_COLUMNS bounds; empty TSV fields
HL-61-ALIGN	a1759b2a §61	accepted	CellRef.align Option<Align>; None inherits Column, Some explicit	Align::Left inheritance sentinel	All inherited/explicit alignment cases including explicit Left overriding right column
HL-61-NUMBER	c62ec8d3 source diff	implemented-correction	Detailed gutter source number belongs in RowDecor.number; frozen GridModel trait restored	Temporary GridModel::row_number extra method	Retain exact trait witness and keyed sorted source-number display proof
HL-62-SELECTION	a1759b2a §62	accepted	TextViewport mono range uses targeted semantic fg/bg swap plus underline; generic rule count19	Glyph insertion; terminal REVERSED	Junie/Paper selected/base contrast and underline; geometry equal; actual oracle range frames
HL-63-FAMILY	a1759b2a §63	accepted	TOO_SMALL family34; Primary title bold/Secondary detail/Muted help/Faint actions; exact four lines	PANEL alias/variant; implicit instance patch; unnamed family	Bidirectional Panel isolation; q Quit faint cell; family completeness; twenty conformance cases
HL-63-KEYS	a1759b2a §63	accepted-historical-only	64 first-generation TooSmall keys allocated item24	First-generation as permission to change legacy app frames	Retain historical identity and compare current required too-small flows to immutable oracle
HL-64-CAPS	a1759b2a §64	accepted	COLLECTION means key/reorder; independent SELECTS controls mono selection; Steps omits SELECTS	Collection implies selection; fabricated SELECTED/EDITING	Caps truth tests; Grid Space/F2 real semantic setup then exact forced runtime bits
HL-64-GESTURE	a1759b2a §64	accepted_mechanism_product_gesture_superseded_by_current_oracle	Conformance PointerGesture default Click; Grid DoubleClick; single click Moved, double/Enter Activated key	Universal single-click activation; altering Grid product gesture to fit driver	Current product gesture is superseded by oracle02f5294b grid.rs1322-1344: same-current-cell completed click edits when editable or activates when read-only; different-cell click moves. Retain gesture metadata and keyed identity/selection separation; no universal single-click-Moved requirement
HL-64-CLIP	a1759b2a §64	accepted	Grid zero remaining column width means no show/register; intersect cell rects; reject clipped column_at	Oversized min widths escaping body	Nonzero 2x2/3x2 buffers; exact region containment; update/draw geometry agreement
HL-65-LOCAL	a1759b2a §65	accepted	Grid empty Loading/Error and row/cell decor readiness; no global status propagation	Grid.status(Status); whole-grid BUSY/ERROR; invent ICON for global readiness	Zero-row affordances; real decorated ERROR mono underline; ready output unchanged
HL-65-PARTS	30924105 §65; aacb7cb3 A7	amended	Detailed gutter adds GUTTER/MARKER/CHANGE/ROW_NUMBER and optional per-column header ICON; default compact picture unchanged	Earlier exact-nine-parts and blanket no-ICON restrictions superseded; status ban retained	Default compatibility; optional clipped slots; Header slot replaces whole; prefix defaults below explicit overrides
HL-66-ISOLATION	a1759b2a §66	accepted	Foundation perf.rs and six collection subjects perf_collections.rs; one Counting allocator per measured executable	Single ever-growing perf binary; resetting unrelated threshold after codegen disturbance	Serial release both binaries; unchanged1079 foundation allocation ceiling; separate further domains when measured perturbation occurs
HL-67-SEMANTICS	a1759b2a §67	accepted	Item/AsItem carries key,label,glyph,matched,detail,insert,tag,group,disabled; picker family requires AsItem, paint-only RowFn	Display requirement; painter-derived filter; K parameter/key builder	Domain AsItem no Display/Clone; compile-fail RowFn-only; semantic key/filter/grapheme matches; insert-vs-label
HL-67-MOVE	a1759b2a §67	accepted	Runtime delivers Phase::Move; enabled menu Move changes cursor; Click activates	Press/Release/Drag masquerading as hover	Exactly one uncaptured Move; capture produces Drag; no focus/activation; paint only visible hover change
HL-67-FORM	a1759b2a §67	accepted	Configured FieldKind controls keep private update_in_form/draw_in_form; effective disable inherited OR own	Public form-specific component API; disabled state duplicated inconsistently	Dynamic FormData.disabled before mutable value_and_options borrow; chooser same rule
HL-67-SECRET	a1759b2a §67	accepted	Sealed private TextTarget only String/Secret enables direct non-Clone editing	Cloned secret; public secret-target abstraction	Non-Clone secret/direct edit tests plus later security amendments owned by early historian
HL-68-ID	a1759b2a §68	accepted	Stable ActionKey per Binding; optional default/latent chord; Binding::command sole lookup; Intent::Binding routes identity	Raw-key rematching for declared commands; index/synthetic tokens	Duplicate action diagnostics; owner/action remap/removal; raw text remains available
HL-68-MAP	a1759b2a §68	accepted	Structural equality KeyMap snapshot in UiCore with reused clone_from and monotonic change revision	Fingerprint substitute; component-local map revision; global chord override	Unchanged map no revision/allocations; changed effective map invalidates hints/routes together
HL-68-PUBLISH	a1759b2a §68	accepted	Focused non-forced owner publishes erased static/dynamic descriptors; latest contiguous additive table; no Any/box/unsafe	Fresh descriptor Vec; dynamic hidden commands separate resolver	Capture then explicit component including Tab, traversal, raw Key, ignored-only Bubble; hidden duplicates diagnosed
HL-68-HINTS	a1759b2a §68	accepted	HintBar top>mode>focused>screen>global first nonempty; stable priority reused Vec; full cache key	Allocating sort/fresh Vec; duplicate hints; shell chord match	frame_hintbar_derived warmed draw and component route allocate zero
HL-69-REVEAL	a1759b2a §69	accepted	Conformance reveal hook only when reorder hides target; redraw proves actual keyed part before click	Skipping missing part; empty reveal silently passes	Picker End reveal and negative absent-target witness
HL-69-PRESS	a1759b2a §69	accepted	Snapshot/capture retain owner and PartRef; Grid press row/cell/actions targeted; ScrollRegion only thumb	Child press paints whole container pressed	Exact target cells/regions; forced target cursor or thumb only; unrelated children unforced
HL-69-PERF	a1759b2a §69	accepted	Borrowed-domain picker warm80x24,19 visible rows38 AsItem reads,zero allocations/bytes	100k-dependent preparation in measured draw; Display/Clone requirement	1k/100k deterministic accessor equality; PERF_STRICT ratio<=1.5
HL-70-MONO	a1759b2a §70	accepted	Immutable resolver generic and family-targeted mono manifest once after merged state before overrides	Materialized cloned StateRules; geometry-changing pressed glyph fallback	Recipe vectors structurally unchanged; neutral/custom families; ceiling1079; SELECT/PICKER exact part rules
HL-70-PROBE	a1759b2a §70	accepted	Testing-only caller-owned ViewportWorkProbe private Cell counters; local accumulate once; exact prefix append capacity	Global/thread counters; runtime state/geometry/cache key contamination	Independent parallel probes; unchanged warm zero index work; append allocation vs indexed-work separation
HL-70-FORMPERF	a1759b2a §70	accepted	Real Runtime one borrowed field Form warm Tick update+draw zero allocation/bytes	Per-pass Form placements Vec	frame_form_update_draw remains concrete public path proof
HL-71-DISCLOSURE	a1759b2a §71	accepted	Append SelectClosed/Open39/40; inherited marker only; exact field.right-2; strip field SELECTED, retain live pressed	Chosen replacing disclosure; moving existing role discriminants; overriding explicit Set/Clear	One-cell down/up; popup exactly one chosen marker; field and popup mono states distinct
HL-71-ASCII	a1759b2a §71	deferred-historical	Full ASCII table will map SelectClosed v and SelectOpen ^	Partial ASCII conversion falsely reported complete	Plan must locate whole-table successor and prove complete mapping rather than treating this defer as abandonment
HL-72-BOUNDARY	a1759b2a §72	accepted-superseding	Ui.reference sole inert subtree boundary, target None or exact id/optional part, only four runtime bits	§28P5/§29Q2/§39 component-local state_override/inherit_forced and composite broadcast	AST legacy absence/reference scope; nested callback and slot side-effect suppression; semantic state remains real
HL-72-MATRIX	a1759b2a §72	accepted	Fixture selects actual activation/control/part; exact target per composite; unrelated child/scroll unforced	Root forced bits impersonating children	Form one field, Dialog one action, collection stable row; actual semantic setup
HL-72-VISUAL	a1759b2a §72; ecc13378 STATE	accepted-historical-unclosed	Item27 576 first-generation; item30 Dialog28 movements; item31 exact177; total280 moved1280 added	State PASS superseded by independent640-frame FAIL; counts do not authorize bless	Recorded FAIL must be traced; fresh pinned-oracle captures supersede historical visual approval authority
HL-73-HIT	33eeb99e/03697429 §73D1	accepted	Hit max(layer,registration index), disabled absorbs activating pointer, never lower-owner search	Disabled fallthrough	Current AC1 only neighbors; add actual overlapping disabled top/enabled lower adversarial proof
HL-73-EXCEPTIONS	33eeb99e/03697429 §73D1	accepted	Disabled hover/Move inspectable but visual flags removed; wheel routable; ClickOnly active; below-layer outside first	Blanket disabled routing suppression; breaking outside dismissal	AC2 retains all exception cases
HL-73-CAPTURE	§73 historical gap;715ee0777e20a09e0f373b07024076bdc742ef1d;main runtime.rs1725/capture.rs19	implemented-retention-verification	Published disabled/absent/decorative/empty/layer-blocked target cancels capture and press; no release/click resurrection	Earlier assessment reading only direct delivery at runtime.rs1107 missed publication-time reconciliation	Retain pointer_capture_eligibility suite: disable/re-enable, dropped output, no lower retarget and independent timed feedback; current implementation verified by source, fresh suite owned by architecture adjudicator
HL-73-PROPS	§73D2; main xtask/main.rs3719	accepted-partially-enforced	Private non-method constructor once same const ID both phases across apps/examples/composites; explicit exemptions	Duplicate config; public constructor; same-ID hand construction	Current gate lacks receiver rejection; add AST red witness; retain explicitly intra-module source scope
HL-73-INERT	§73D3	accepted	Public registration APIs centrally no-op suppressed; reference suppresses focus/layer/layout/cursor/bindings; normal inert layers keep semantics	Component-local guards as correctness authority	Arbitrary callbacks/slots, nested reference restoration, external author API and inert-below tests
HL-74-COLOR	ecc13378 §74.1	accepted	Runtime color request ceiling weaker(detected,requested), clamp silently; environment precedence intact	Per-binary detect/replace; overrequest error; flag raises capability	4x4 levels plus NO_COLOR/dumb/redirect tests; app parsers pass request only
HL-74-ORDER	§74.1 open question; main tokens.rs525/644	unresolved-prose-existing-solution	Public narrow_to exists; ColorLevel has no Ord	Proposed plan rejects new public Ord; retains existing meet API	Record fixed adjudication to close stale public-order/private-rank question; no builder discretion
HL-74-CAPTURE	ecc13378;08cabdf0;737ed7de;e524ceaa §74.2	accepted-amended	Capture command precedes review/bless; exact inventory; fail closed; explicit argv/BIN; per-worktree session/lock; hash bytes/provenance; atomic output	Manual substitute; missing cell skip; stale implicit binary; shell ARGS string	Historical96 cells480 artifacts obsolete in four-app scope; define128 base cells plus scenario coverage from one shared declaration
HL-74-BASELINES	ecc13378 §74.3	accepted	New per-app visual/perf files; retain frozen root before-images; extend CI same creation; visual item32/perf33	Move frozen file; app keys under component item19; worse perf row bless	Frames vs matching historical before; perf side-by-side rows; current oracle stricter than historical allowances
HL-75-ARCHIVE	2ebe74c5 §75; historical-regeneration-approval	accepted-narrow-exception	499HTML499PNG absent-only exact reviewed bytes; originals even empty immutable;998 complete including ignored	Unreviewed addition; edit/replace/rename/delete original; claim regenerated images original	Manifest SHA e2dcdb2952e5cbd283b841ce055962c4d961dfa967d43c879bdbc49a5abdb6cb; fail-close mutation evidence; no app acceptance authority
HL-METER-POLICY	d52ee38b ->29ed8e5e Meter amendment	accepted-superseding	MeterFillRest Color or ReferenceLift; compare resolved Canvas then Surface/Elevated then Field else Popover	RaisedSurface semantic-enum dispatch; generic raise ladder; painted-role RGB inference	Aliased/reduced palettes exact order; typed HoverSurface provenance; Low Secondary/Stale Faint; Paper concrete rest
HL-METER-PROJECTION	Meter amendment;4afca16f/4a9dcab1	accepted	73 typed slots; concrete colors72 for symbolic Junie; actual last projection and sticky eligibility; explicit custom precedence	Positional inference variable colors list; reattach mutated slot on quantization collision	Missing target chains/custom mutations/clones/same-level no-op; semantic slot coverage
HL-METER-PINS	c62ec8d3 meter_defaults diff	current-evidence-gap	Seven of16 preservation integers changed; prose says unchanged pending review	Current test success accepted as immutable product parity	Reconstruct canonical before/after cells from pinned Sep10 oracle and reconcile provenance before baseline acceptance
HL-SCROLL	da4b1364 unnumbered amendment	accepted	Scrollbar_visible default true, false full area1x1 min/no chrome/no pointer parts; wheel/reveal active; release hidden active thumb	Discarded setter argument; content-width reservation when hidden	Direct ScrollRegion contract plus NavList forwarding; hidden-bar pointer consumed no scrolling; hide-mid-drag release
HL-GOAL	efada044 REFACTORING_GOAL;7b27732a STATE tail;PLANNING_GOAL	amended-authority	Architecture survives old execution order; current planning oracle Sep10 Holla governs every visible behavior	Old slice-order blockers; consolidation red-parity disposition used as completion permission; historical polish exceptions	Retain inherited red evidence and exact recipe disposition; planned execution must restore oracle with new architecture
