source_namespace	source_id	task_ids
HIST	EARLY-049	TASK-031;TASK-066;TASK-068;TASK-071;TASK-073
HIST	EARLY-050	TASK-068;TASK-072
HIST	EARLY-051	TASK-065;TASK-068
HIST	EARLY-052	TASK-065;TASK-066
HIST	EARLY-053	TASK-019;TASK-023;TASK-030
HIST	EARLY-054	TASK-024;TASK-030;TASK-042;TASK-051;TASK-052;TASK-053;TASK-056
HIST	EARLY-055	TASK-015;TASK-017;TASK-020;TASK-029
HIST	EARLY-056	TASK-008;TASK-069
HIST	EARLY-057	TASK-018;TASK-020;TASK-028
HIST	EARLY-058	TASK-022
HIST	EARLY-059	TASK-066;TASK-067;TASK-071
HIST	EARLY-060	TASK-012;TASK-015
HIST	EARLY-AMEND-001	TASK-012;TASK-031;TASK-073
HIST	EARLY-AMEND-002	TASK-014
HIST	EARLY-AMEND-003	TASK-008;TASK-069
HIST	EARLY-AMEND-004	TASK-008;TASK-066
HIST	EARLY-AMEND-005	TASK-022;TASK-065;TASK-072
HIST	EARLY-AMEND-006	TASK-067
HIST	EARLY-AMEND-007	TASK-011;TASK-013;TASK-015;TASK-020
HIST	EARLY-AMEND-008	TASK-031
HIST	EARLY-AMEND-009	TASK-011;TASK-031
HIST	EARLY-AMEND-010	TASK-017;TASK-018
HIST	EARLY-AMEND-011	TASK-065
HIST	EARLY-AMEND-012	TASK-065;TASK-072
HIST	EARLY-AMEND-013	TASK-031
HIST	EARLY-AMEND-014	TASK-012;TASK-023;TASK-027
HIST	EARLY-AMEND-015	TASK-018
HIST	EARLY-AMEND-016	TASK-020
HIST	EARLY-AMEND-017	TASK-015;TASK-020
HIST	EARLY-AMEND-018	TASK-010
HIST	EARLY-AMEND-019	TASK-010;TASK-030
HIST	EARLY-AMEND-020	TASK-028;TASK-030
HIST	EARLY-AMEND-021	TASK-010;TASK-031
HIST	EARLY-AMEND-022	TASK-031
HIST	EARLY-AMEND-023	TASK-022
HIST	EARLY-AMEND-024	TASK-021
HIST	EARLY-AMEND-025	TASK-021;TASK-067
HIST	EARLY-AMEND-026	TASK-019
HIST	EARLY-AMEND-027	TASK-019
HIST	EARLY-AMEND-028	TASK-016;TASK-019
HIST	EARLY-AMEND-029	TASK-031
HIST	EARLY-AMEND-030	TASK-024;TASK-025
HIST	EARLY-AMEND-031	TASK-027
HIST	EARLY-AMEND-032	TASK-008;TASK-066
HIST	EARLY-AMEND-033	TASK-018;TASK-023;TASK-031
HIST	EARLY-AMEND-034	TASK-032;TASK-065;TASK-072
HIST	EARLY-AMEND-035	TASK-069;TASK-070
HIST	EARLY-AMEND-036	TASK-065;TASK-066;TASK-067
HIST	EARLY-AMEND-037	TASK-008;TASK-069
HIST	EARLY-AMEND-038	TASK-065
HIST	EARLY-AMEND-039	TASK-068
HIST	EARLY-AMEND-040	TASK-068;TASK-072
HIST	EARLY-AMEND-041	TASK-028
HIST	EARLY-AMEND-042	TASK-065;TASK-072
HIST	EARLY-AMEND-043	TASK-018
HIST	EARLY-AMEND-044	TASK-016;TASK-031;TASK-073
HIST	EARLY-AMEND-045	TASK-066;TASK-068;TASK-071
HIST	EARLY-AMEND-046	TASK-030
HIST	EARLY-AMEND-047	TASK-010
HIST	EARLY-AMEND-048	TASK-010
HIST	EARLY-AMEND-049	TASK-009;TASK-051;TASK-055
HIST	EARLY-AMEND-050	TASK-011
HIST	EARLY-AMEND-051	TASK-022
HIST	EARLY-AMEND-052	TASK-060;TASK-067
HIST	EARLY-AMEND-053	TASK-069
HIST	EARLY-AMEND-054	TASK-020;TASK-022;TASK-024
HIST	F01	TASK-017;TASK-023
HIST	F02	TASK-020;TASK-043;TASK-046
HIST	F03	TASK-020
HIST	F04	TASK-022;TASK-060
HIST	F05	TASK-020;TASK-059
HIST	F06	TASK-022;TASK-060
HIST	F07	TASK-022;TASK-060
HIST	F08a	TASK-060
HIST	F08b	TASK-024
HIST	F08c	TASK-013;TASK-016
HIST	F08d	TASK-028;TASK-030
HIST	F09	TASK-056
HIST	F10	TASK-013
HIST	F11	TASK-021;TASK-044;TASK-055
HIST	F12	TASK-021
HIST	F13	TASK-021
HIST	F14	TASK-013;TASK-021
HIST	F15	TASK-021;TASK-067
HIST	F16	TASK-032;TASK-033;TASK-039
HIST	F17	TASK-012;TASK-031
HIST	F18	TASK-016;TASK-022;TASK-033
HIST	F19	TASK-026
HIST	F20	TASK-013;TASK-021;TASK-025;TASK-026;TASK-042;TASK-044;TASK-050
HIST	F21	TASK-009
HIST	F22	TASK-001;TASK-069;TASK-070
HIST	F23a	TASK-032;TASK-039;TASK-040;TASK-050;TASK-051;TASK-057;TASK-058;TASK-064
HIST	F23b	TASK-009
HIST	F23c	TASK-010
HIST	F23d	TASK-009;TASK-010;TASK-044
HIST	F23e	TASK-067
HIST	F23f	TASK-069
HIST	F23g	TASK-069;TASK-070
HIST	F23h	TASK-066;TASK-069
HIST	HAR-001	TASK-010
HIST	HAR-002	TASK-016;TASK-031
HIST	HAR-003	TASK-010;TASK-020
HIST	HAR-004	TASK-010;TASK-017
HIST	HAR-005	TASK-013;TASK-014
HIST	HAR-006	TASK-009
HIST	HAR-007	TASK-011
HIST	HAR-008	TASK-012
HIST	HAR-009	TASK-018;TASK-020;TASK-027
HIST	HAR-010	TASK-018;TASK-023;TASK-024
HIST	HAR-011	TASK-021;TASK-026
HIST	HAR-012	TASK-028;TASK-030
HIST	HAR-013	TASK-022;TASK-060
HIST	HAR-014	TASK-016
HIST	HAR-015	TASK-027;TASK-028
HIST	HAR-016	TASK-012;TASK-020;TASK-029
HIST	HAR-017	TASK-016;TASK-052;TASK-053
HIST	HAR-018	TASK-031;TASK-066;TASK-071
HIST	HAR-019	TASK-065
HIST	HAR-020	TASK-065;TASK-066
HIST	HAR-021	TASK-066;TASK-069;TASK-071
HIST	HAR-022	TASK-009;TASK-051;TASK-054;TASK-055
HIST	HAR-023	TASK-065
HIST	HAR-024	TASK-010;TASK-020
HIST	HAR-025	TASK-011
HIST	HAR-026	TASK-011
HIST	HAR-027	TASK-011;TASK-067
HIST	HAR-028	TASK-065;TASK-068
HIST	HAR-029	TASK-068
HIST	HAR-030	TASK-031;TASK-068
HIST	HAR-031	TASK-068
HIST	HAR-032	TASK-068
HIST	HAR-033	TASK-010;TASK-015
HIST	HAR-034	TASK-010;TASK-016;TASK-068
HIST	HAR-035	TASK-010;TASK-017
HIST	HAR-036	TASK-019;TASK-065;TASK-068
HIST	HAR-037	TASK-051;TASK-060;TASK-065
HIST	HAR-038	TASK-031;TASK-073
HIST	HAR-039	TASK-011;TASK-031;TASK-068
HIST	HAR-040	TASK-011
HIST	HAR-041	TASK-010;TASK-016;TASK-018;TASK-028;TASK-067
HIST	HAR-042	TASK-008;TASK-069
HIST	HAR-043	TASK-033;TASK-066
HIST	HAR-044	TASK-068
HIST	HI-001	TASK-010;TASK-065
HIST	HI-002	TASK-010;TASK-015
HIST	HI-003	TASK-010
HIST	HI-004	TASK-010;TASK-065
HIST	HI-005	TASK-010;TASK-017
HIST	HI-006	TASK-014
HIST	HI-007	TASK-028;TASK-030
HIST	HI-008	TASK-009;TASK-010
HIST	HI-009	TASK-022;TASK-060
HIST	HI-010	TASK-022
HIST	HI-011	TASK-022
HIST	HI-012	TASK-023
HIST	HI-013	TASK-019
HIST	HI-014	TASK-018;TASK-019
HIST	HI-015	TASK-016
HIST	HI-016	TASK-016;TASK-019
HIST	HI-017	TASK-023;TASK-024
HIST	HI-018	TASK-021;TASK-026;TASK-027
HIST	HI-019	TASK-028
HIST	HI-020	TASK-012;TASK-020;TASK-055
HIST	HI-021	TASK-015;TASK-019;TASK-024;TASK-030
HIST	HI-022	TASK-015;TASK-020;TASK-067
HIST	HI-023	TASK-020;TASK-021;TASK-025;TASK-055;TASK-067
HIST	HI-024	TASK-067
HIST	HI-025	TASK-009;TASK-068
HIST	HI-026	TASK-011;TASK-020
HIST	HI-027	TASK-013
HIST	HI-028	TASK-010;TASK-011;TASK-012
HIST	HI-029	TASK-009
HIST	HI-030	TASK-068;TASK-069
HIST	HI-031	TASK-068
HIST	HI-032	TASK-010;TASK-015
HIST	HI-033	TASK-065
HIST	HI-034	TASK-068
HIST	HI-035	TASK-011
HIST	HI-036	TASK-031;TASK-073
HIST	HI-037	TASK-011
HIST	HI-038	TASK-067
HIST	HI-039	TASK-031;TASK-065;TASK-066;TASK-071
HIST	HI-040	TASK-068
HIST	HI-041	TASK-012;TASK-017
HIST	HI-042	TASK-011;TASK-067
HIST	HI-043	TASK-010;TASK-031
HIST	HI-044	TASK-015;TASK-018
HIST	HI-045	TASK-015
HIST	HI-046	TASK-031
HIST	HI-047	TASK-017;TASK-018
HIST	HI-048	TASK-008;TASK-069
HIST	HI-049	TASK-011;TASK-031
HIST	HI-050	TASK-066;TASK-069;TASK-071
HIST	HI-051	TASK-033;TASK-066
HIST	HI-052	TASK-069
HIST	HI-053	TASK-017
HIST	HI-054	TASK-012;TASK-031
HIST	HI-055	TASK-011;TASK-031
HIST	HI-056	TASK-011;TASK-067
HIST	HI-057	TASK-011
HIST	HI-058	TASK-067
HIST	HI-059	TASK-010;TASK-067
HIST	HI-060	TASK-066;TASK-071
HIST	HI-061	TASK-023
HIST	HI-062	TASK-010;TASK-017
HIST	HI-063	TASK-031
HIST	HI-064	TASK-018;TASK-019
HIST	HI-065	TASK-019
HIST	HI-066	TASK-031;TASK-066
HIST	HL-54-CAUSE	TASK-009;TASK-010
HIST	HL-54-DIM	TASK-011;TASK-017
HIST	HL-54-DOMAIN	TASK-051;TASK-054;TASK-055
HIST	HL-54-FANOUT	TASK-051;TASK-053
HIST	HL-54-STATUS	TASK-028;TASK-051
HIST	HL-56-TRAVERSE	TASK-012
HIST	HL-57-ENTRY	TASK-020;TASK-032
HIST	HL-57-PARTS	TASK-015;TASK-020
HIST	HL-58-LIFECYCLE	TASK-020;TASK-030
HIST	HL-58-PARTS	TASK-015;TASK-020
HIST	HL-59-CACHE	TASK-020;TASK-067
HIST	HL-59-INVALIDATE	TASK-020
HIST	HL-60-MARKER	TASK-020
HIST	HL-61-ALIGN	TASK-022
HIST	HL-61-NUMBER	TASK-022;TASK-060
HIST	HL-61-RAGGED	TASK-022
HIST	HL-61-SCHEMA	TASK-022
HIST	HL-62-SELECTION	TASK-021
HIST	HL-63-FAMILY	TASK-027
HIST	HL-63-KEYS	TASK-008;TASK-066
HIST	HL-64-CAPS	TASK-031;TASK-073
HIST	HL-64-CLIP	TASK-022
HIST	HL-64-GESTURE	TASK-022;TASK-031
HIST	HL-65-LOCAL	TASK-022
HIST	HL-65-PARTS	TASK-022
HIST	HL-66-ISOLATION	TASK-067
HIST	HL-67-FORM	TASK-018;TASK-019
HIST	HL-67-MOVE	TASK-010;TASK-023
HIST	HL-67-SECRET	TASK-016
HIST	HL-67-SEMANTICS	TASK-024
HIST	HL-68-HINTS	TASK-028
HIST	HL-68-ID	TASK-030
HIST	HL-68-MAP	TASK-030
HIST	HL-68-PUBLISH	TASK-010;TASK-030
HIST	HL-69-PERF	TASK-024;TASK-067
HIST	HL-69-PRESS	TASK-010;TASK-014;TASK-022
HIST	HL-69-REVEAL	TASK-031
HIST	HL-70-FORMPERF	TASK-019;TASK-067
HIST	HL-70-MONO	TASK-011;TASK-031
HIST	HL-70-PROBE	TASK-021;TASK-067
HIST	HL-71-ASCII	TASK-011
HIST	HL-71-DISCLOSURE	TASK-018
HIST	HL-72-BOUNDARY	TASK-010;TASK-031
HIST	HL-72-MATRIX	TASK-031;TASK-073
HIST	HL-72-VISUAL	TASK-008;TASK-069
HIST	HL-73-CAPTURE	TASK-010
HIST	HL-73-EXCEPTIONS	TASK-010
HIST	HL-73-HIT	TASK-010
HIST	HL-73-INERT	TASK-010;TASK-031
HIST	HL-73-PROPS	TASK-065
HIST	HL-74-BASELINES	TASK-008;TASK-066;TASK-067
HIST	HL-74-CAPTURE	TASK-069;TASK-070
HIST	HL-74-COLOR	TASK-009
HIST	HL-74-ORDER	TASK-009;TASK-068
HIST	HL-75-ARCHIVE	TASK-008;TASK-069
HIST	HL-GOAL	TASK-069
HIST	HL-METER-PINS	TASK-008;TASK-029
HIST	HL-METER-POLICY	TASK-011;TASK-029
HIST	HL-METER-PROJECTION	TASK-011
HIST	HL-SCROLL	TASK-014
HIST	HM01	TASK-011;TASK-031
HIST	HM02	TASK-011
HIST	HM03	TASK-015
HIST	HM04	TASK-015;TASK-018
HIST	HM05	TASK-031;TASK-073
HIST	HM06	TASK-031;TASK-073
HIST	HM07	TASK-031;TASK-073
HIST	HM08	TASK-031;TASK-073
HIST	HM09	TASK-031;TASK-073
HIST	HM10	TASK-009
HIST	HM11	TASK-009
HIST	HM12	TASK-009;TASK-070
HIST	HM13	TASK-014
HIST	HM14	TASK-068;TASK-072
HIST	HM15	TASK-011
HIST	HM16	TASK-008;TASK-066
HIST	HM17	TASK-008;TASK-066
HIST	HM18	TASK-008;TASK-069
HIST	HM19	TASK-008;TASK-069
HIST	HM20	TASK-065;TASK-072
HIST	HM21	TASK-065;TASK-072
HIST	HM22	TASK-031
HIST	HM23	TASK-010;TASK-031
HIST	HM24	TASK-031
HIST	HM25	TASK-068;TASK-072
HIST	HM26	TASK-068;TASK-072
HIST	HM27	TASK-069
HIST	HM28	TASK-068;TASK-072
HIST	HM29	TASK-068
HIST	HM30	TASK-068;TASK-072
HIST	HM31	TASK-068;TASK-069
HIST	HM32	TASK-011
HIST	HM33	TASK-011;TASK-068
HIST	HM34	TASK-007;TASK-066;TASK-071
HIST	HM35	TASK-027
HIST	HM36	TASK-010;TASK-031
HIST	HM37	TASK-011
HIST	HM38	TASK-028
HIST	HM39	TASK-029
HIST	HM40	TASK-029
HIST	HM41	TASK-029;TASK-053
HIST	HM42	TASK-028
HIST	HM43	TASK-028
HIST	HM44	TASK-020
HIST	HM45	TASK-028
HIST	HM46	TASK-067
HIST	HM47	TASK-065;TASK-066
HIST	HM48	TASK-031;TASK-073
HIST	HM49	TASK-031;TASK-073
HIST	HM50	TASK-015;TASK-031;TASK-073
HIST	HM51	TASK-068
HIST	HM52	TASK-065
HIST	HM53	TASK-032;TASK-065;TASK-072
HIST	HM54	TASK-065
HIST	HM55	TASK-020
HIST	HM56	TASK-018
HIST	HM57	TASK-022;TASK-060
HIST	HM58	TASK-022
HIST	HM59	TASK-010
HIST	HM60	TASK-020;TASK-067
HIST	HM61	TASK-020
HIST	HM62	TASK-009;TASK-010
HIST	HM63	TASK-009;TASK-010
HIST	HM64	TASK-051;TASK-054;TASK-055
HIST	HM65	TASK-011;TASK-017
HIST	HM66	TASK-028;TASK-051
HIST	HM67	TASK-051;TASK-053
HIST	HM68	TASK-051;TASK-054;TASK-055
HIST	HM69	TASK-023;TASK-027
HIST	HM70	TASK-069
HIST	HM71	TASK-018;TASK-019
HIST	HP01	TASK-041;TASK-049
HIST	HP02	TASK-041;TASK-044
HIST	HP03	TASK-042;TASK-044;TASK-048
HIST	HP04	TASK-042
HIST	HP05	TASK-047
HIST	HP06	TASK-047
HIST	HP07	TASK-047
HIST	HP08	TASK-047
HIST	HP09	TASK-048
HIST	HP10	TASK-048
HIST	HP11	TASK-047
HIST	HP12	TASK-047
HIST	HP13	TASK-049
HIST	HP14	TASK-044;TASK-047
HIST	HP15	TASK-044
HIST	HP16	TASK-040
HIST	HP17	TASK-043;TASK-049
HIST	HP18	TASK-045
HIST	HP19	TASK-045;TASK-046
HIST	HP20	TASK-046
HIST	HP21	TASK-046
HIST	HP22	TASK-046
HIST	HP23	TASK-045;TASK-046;TASK-048;TASK-049;TASK-050
HIST	INLINE-F1	TASK-019
HIST	INLINE-F10	TASK-019
HIST	INLINE-F11	TASK-019
HIST	INLINE-F12	TASK-019
HIST	INLINE-F13	TASK-016;TASK-019
HIST	INLINE-F2	TASK-019
HIST	INLINE-F3	TASK-019
HIST	INLINE-F4	TASK-019
HIST	INLINE-F5	TASK-019
HIST	INLINE-F6	TASK-019;TASK-031
HIST	INLINE-F7	TASK-019
HIST	INLINE-F8	TASK-017;TASK-018;TASK-019
HIST	INLINE-F9	TASK-019
HIST	O01	TASK-044
HIST	O02	TASK-065
HIST	O03	TASK-020
HIST	O04	TASK-022
HIST	O05	TASK-009
HIST	O06	TASK-017
HIST	O07	TASK-016
HIST	P01	TASK-016;TASK-022
HIST	P02	TASK-014
HIST	P03	TASK-014
HIST	RG01	TASK-011
HIST	RG02	TASK-011
HIST	RG03	TASK-011
HIST	RG04	TASK-011
HIST	RG05	TASK-011
HIST	RG06	TASK-011;TASK-031
HIST	RG07	TASK-011;TASK-031
HIST	RG08	TASK-068
HIST	RG09	TASK-065;TASK-066
HIST	RG10	TASK-065;TASK-068
HIST	RG11	TASK-010;TASK-065
HIST	RG12	TASK-043;TASK-052;TASK-060
HIST	RG13	TASK-065
HIST	RG14	TASK-015;TASK-068
HIST	RG15	TASK-012;TASK-068
HIST	RG16	TASK-010;TASK-065
HIST	RG17	TASK-031;TASK-065
HIST	RG18	TASK-016
HIST	RG19	TASK-020;TASK-022
HIST	RG20	TASK-010;TASK-015
HIST	RG21	TASK-010
HIST	RG22	TASK-010
HIST	RG23	TASK-010;TASK-014
HIST	RG24	TASK-028;TASK-030
HIST	RG25	TASK-017
HIST	RG26	TASK-023
HIST	RG27	TASK-011
HIST	RG28	TASK-011
HIST	RG29	TASK-011
HIST	RG30	TASK-031;TASK-068
HIST	RG31	TASK-012
HIST	RG32	TASK-012;TASK-031
HIST	RG33	TASK-015;TASK-020;TASK-022;TASK-024
HIST	RG34	TASK-018;TASK-020;TASK-022
HIST	RG35	TASK-020;TASK-021;TASK-067
HIST	RG36	TASK-022;TASK-060
HIST	RG37	TASK-016;TASK-019
HIST	RG38	TASK-016;TASK-019
HIST	RG39	TASK-016;TASK-021;TASK-022
HIST	RG40	TASK-065;TASK-068
HIST	RG41	TASK-065;TASK-068
HIST	RG42	TASK-032;TASK-039
HIST	RG43	TASK-051;TASK-057;TASK-058;TASK-064
HIST	RG44	TASK-068
HIST	RG45	TASK-068
HIST	RG46	TASK-031;TASK-073
HIST	RG47	TASK-065;TASK-068;TASK-072
HIST	RG48	TASK-067
HIST	RG49	TASK-069
HIST	RG50	TASK-068;TASK-069
HIST	RG51	TASK-069
HIST	RG52	TASK-065;TASK-068;TASK-069
HIST	RG53	TASK-008;TASK-069
HIST	RG54	TASK-069
HIST	RG55	TASK-069
HIST	RG56	TASK-069
