task_id	source_id
TASK-011	HL-METER-PROJECTION
TASK-011	HM01
TASK-011	HM02
TASK-011	HM15
TASK-011	HM32
TASK-011	HM33
TASK-011	HM37
TASK-011	HM65
TASK-011	RG01
TASK-011	RG02
TASK-011	RG03
TASK-011	RG04
TASK-011	RG05
TASK-011	RG06
TASK-011	RG07
TASK-011	RG27
TASK-011	RG28
TASK-011	RG29
TASK-012	A20
TASK-012	A22
TASK-012	A23
TASK-012	A24
TASK-012	A26
TASK-012	A27
TASK-012	F17
TASK-012	EARLY-AMEND-001
TASK-012	EARLY-AMEND-014
TASK-012	EARLY-007
TASK-012	EARLY-036
TASK-012	EARLY-060
TASK-012	HAR-008
TASK-012	HAR-016
TASK-012	HI-020
TASK-012	HI-028
TASK-012	HI-041
TASK-012	HI-054
TASK-012	HL-56-TRAVERSE
TASK-012	RG15
TASK-012	RG31
TASK-012	RG32
TASK-013	A29
TASK-013	A30
TASK-013	A120
TASK-013	F08c
TASK-013	F10
TASK-013	F14
TASK-013	EARLY-AMEND-007
TASK-013	EARLY-023
TASK-013	EARLY-044
TASK-013	HAR-005
TASK-013	HI-027
TASK-014	A15
TASK-014	A74
TASK-014	A105
TASK-014	P02
TASK-014	P03
TASK-014	EARLY-AMEND-002
TASK-014	EARLY-037
TASK-014	EARLY-038
TASK-014	HAR-005
TASK-014	HI-006
TASK-014	HL-69-PRESS
TASK-014	HL-SCROLL
TASK-014	HM13
TASK-014	RG23
TASK-015	A06
TASK-015	A28
TASK-015	A30
TASK-015	A44
TASK-015	A129
TASK-015	EARLY-AMEND-007
TASK-015	EARLY-AMEND-017
TASK-015	EARLY-002
TASK-015	EARLY-033
TASK-015	EARLY-055
TASK-015	EARLY-060
TASK-015	HAR-033
TASK-015	HI-002
TASK-015	HI-021
TASK-015	HI-022
TASK-015	HI-032
TASK-015	HI-044
TASK-015	HI-045
TASK-015	HL-57-PARTS
TASK-015	HL-58-PARTS
TASK-015	HM03
TASK-015	HM04
TASK-015	HM50
TASK-015	RG14
TASK-015	RG20
TASK-015	RG33
TASK-016	A84
TASK-016	A85
TASK-016	A86
TASK-016	A87
TASK-016	F08c
TASK-016	F18
TASK-016	O07
TASK-016	P01
TASK-016	EARLY-AMEND-028
TASK-016	EARLY-AMEND-044
TASK-016	EARLY-013
TASK-016	EARLY-047
TASK-016	INLINE-F13
TASK-016	HAR-002
TASK-016	HAR-014
TASK-016	HAR-017
TASK-016	HAR-034
TASK-016	HAR-041
TASK-016	HI-015
TASK-016	HI-016
TASK-016	HL-67-SECRET
TASK-016	RG18
TASK-016	RG37
TASK-016	RG38
TASK-016	RG39
TASK-017	A17
TASK-017	A18
TASK-017	A19
TASK-017	A20
TASK-017	A21
TASK-017	A101
TASK-017	F01
TASK-017	O06
TASK-017	EARLY-AMEND-010
TASK-017	EARLY-008
TASK-017	EARLY-009
TASK-017	EARLY-035
TASK-017	EARLY-039
TASK-017	EARLY-055
TASK-017	INLINE-F8
TASK-017	HAR-004
TASK-017	HAR-035
TASK-017	HI-005
TASK-017	HI-041
TASK-017	HI-047
TASK-017	HI-053
TASK-017	HI-062
TASK-017	HL-54-DIM
TASK-017	HM65
TASK-017	RG25
TASK-018	A18
TASK-018	A42
TASK-018	A65
TASK-018	A75
TASK-018	A83
TASK-018	EARLY-AMEND-010
TASK-018	EARLY-AMEND-015
TASK-018	EARLY-AMEND-033
TASK-018	EARLY-AMEND-043
TASK-018	EARLY-017
TASK-018	EARLY-033
TASK-018	EARLY-039
TASK-018	EARLY-057
TASK-018	INLINE-F8
TASK-018	HAR-009
TASK-018	HAR-010
TASK-018	HAR-041
TASK-018	HI-014
TASK-018	HI-044
TASK-018	HI-047
TASK-018	HI-064
TASK-018	HL-67-FORM
TASK-018	HL-71-DISCLOSURE
TASK-018	HM04
TASK-018	HM56
TASK-018	HM71
TASK-018	RG34
TASK-019	A80
TASK-019	A81
TASK-019	A82
TASK-019	A83
TASK-019	A84
TASK-019	A85
TASK-019	A86
TASK-019	A125
TASK-019	EARLY-AMEND-026
TASK-019	EARLY-AMEND-027
TASK-019	EARLY-AMEND-028
TASK-019	EARLY-014
TASK-019	EARLY-015
TASK-019	EARLY-016
TASK-019	EARLY-017
TASK-019	EARLY-048
TASK-019	EARLY-053
TASK-019	INLINE-F1
TASK-019	INLINE-F2
TASK-019	INLINE-F3
TASK-019	INLINE-F4
TASK-019	INLINE-F5
TASK-019	INLINE-F6
TASK-019	INLINE-F7
TASK-019	INLINE-F8
TASK-019	INLINE-F9
TASK-019	INLINE-F10
TASK-019	INLINE-F11
TASK-019	INLINE-F12
TASK-019	INLINE-F13
TASK-019	HAR-036
TASK-019	HI-013
TASK-019	HI-014
TASK-019	HI-016
TASK-019	HI-021
TASK-019	HI-064
TASK-019	HI-065
TASK-019	HL-67-FORM
TASK-019	HL-70-FORMPERF
TASK-019	HM71
TASK-019	RG37
TASK-019	RG38
TASK-020	A06
TASK-020	A61
TASK-020	A62
TASK-020	A63
TASK-020	A64
TASK-020	A67
TASK-020	A68
TASK-020	A69
TASK-020	A122
TASK-020	F02
TASK-020	F03
TASK-020	F05
TASK-020	O03
TASK-020	EARLY-AMEND-007
TASK-020	EARLY-AMEND-016
TASK-020	EARLY-AMEND-017
TASK-020	EARLY-AMEND-054
TASK-020	EARLY-005
TASK-020	EARLY-020
TASK-020	EARLY-022
TASK-020	EARLY-055
TASK-020	EARLY-057
TASK-020	HAR-003
TASK-020	HAR-009
TASK-020	HAR-016
TASK-020	HAR-024
TASK-020	HI-020
TASK-020	HI-022
TASK-020	HI-023
TASK-020	HI-026
TASK-020	HL-57-ENTRY
TASK-020	HL-57-PARTS
TASK-020	HL-58-LIFECYCLE
TASK-020	HL-58-PARTS
TASK-020	HL-59-CACHE
TASK-020	HL-59-INVALIDATE
TASK-020	HL-60-MARKER
TASK-020	HM44
TASK-020	HM55
TASK-020	HM60
TASK-020	HM61
TASK-020	RG19
TASK-020	RG33
TASK-020	RG34
TASK-020	RG35
TASK-021	A53
TASK-021	A76
TASK-021	A77
TASK-021	A78
TASK-021	A124
TASK-021	F11
TASK-021	F12
TASK-021	F13
TASK-021	F14
TASK-021	F15
TASK-021	F20
TASK-021	EARLY-AMEND-024
TASK-021	EARLY-AMEND-025
TASK-021	EARLY-020
TASK-021	HAR-011
TASK-021	HI-018
TASK-021	HI-023
TASK-021	HL-62-SELECTION
TASK-021	HL-70-PROBE
TASK-021	RG35
TASK-021	RG39
TASK-022	A53
TASK-022	A54
TASK-022	A55
TASK-022	A56
TASK-022	A57
TASK-022	A58
TASK-022	A59
TASK-022	A74
TASK-022	F04
TASK-022	F06
TASK-022	F07
TASK-022	F18
TASK-022	O04
TASK-022	P01
TASK-022	EARLY-AMEND-005
TASK-022	EARLY-AMEND-023
TASK-022	EARLY-AMEND-051
TASK-022	EARLY-AMEND-054
TASK-022	EARLY-018
TASK-022	EARLY-019
TASK-022	EARLY-058
TASK-022	HAR-013
TASK-022	HI-009
TASK-022	HI-010
TASK-022	HI-011
TASK-022	HL-61-SCHEMA
TASK-022	HL-61-RAGGED
TASK-022	HL-61-ALIGN
TASK-022	HL-61-NUMBER
TASK-022	HL-64-GESTURE
TASK-022	HL-64-CLIP
TASK-022	HL-65-LOCAL
TASK-022	HL-65-PARTS
TASK-022	HL-69-PRESS
TASK-022	HM57
TASK-022	HM58
TASK-022	RG19
TASK-022	RG33
TASK-022	RG34
TASK-022	RG36
TASK-022	RG39
TASK-023	A25
TASK-023	A72
TASK-023	F01
TASK-023	EARLY-AMEND-014
TASK-023	EARLY-035
TASK-023	EARLY-053
TASK-023	HAR-010
TASK-023	HI-012
TASK-023	HI-017
TASK-023	HI-061
TASK-023	HL-67-MOVE
TASK-023	HM69
TASK-023	RG26
TASK-024	A70
TASK-024	A71
TASK-024	A123
TASK-024	F08b
TASK-024	EARLY-AMEND-030
TASK-024	EARLY-AMEND-054
TASK-024	EARLY-054
TASK-024	HAR-010
TASK-024	HI-017
TASK-024	HI-021
TASK-024	HL-67-SEMANTICS
TASK-024	HL-69-PERF
TASK-024	RG33
TASK-025	A87
TASK-025	F20
TASK-025	EARLY-AMEND-030
TASK-025	EARLY-021
TASK-025	HI-023
TASK-026	F19
TASK-026	F20
TASK-026	HAR-011
TASK-026	HI-018
TASK-027	A24
TASK-027	A25
TASK-027	A79
TASK-027	EARLY-AMEND-014
TASK-027	EARLY-AMEND-031
TASK-027	HAR-009
TASK-027	HAR-015
TASK-027	HI-018
TASK-027	HL-63-FAMILY
TASK-027	HM35
TASK-027	HM69
TASK-028	A48
TASK-028	A50
TASK-028	A66
TASK-028	A99
TASK-028	F08d
TASK-028	EARLY-AMEND-020
TASK-028	EARLY-AMEND-041
TASK-028	EARLY-043
TASK-028	EARLY-057
TASK-028	HAR-012
TASK-028	HAR-015
TASK-028	HAR-041
TASK-028	HI-007
TASK-028	HI-019
TASK-028	HL-54-STATUS
TASK-028	HL-68-HINTS
TASK-028	HM38
TASK-028	HM42
TASK-028	HM43
TASK-028	HM45
TASK-028	HM66
TASK-028	RG24
TASK-029	A37
TASK-029	EARLY-030
TASK-029	EARLY-055
TASK-029	HAR-016
TASK-029	HL-METER-POLICY
TASK-029	HL-METER-PINS
TASK-029	HM39
TASK-029	HM40
TASK-029	HM41
TASK-030	A48
TASK-030	A49
TASK-030	A50
TASK-030	A68
TASK-030	F08d
TASK-030	EARLY-AMEND-019
TASK-030	EARLY-AMEND-020
TASK-030	EARLY-AMEND-046
TASK-030	EARLY-043
TASK-030	EARLY-053
TASK-030	EARLY-054
TASK-030	HAR-012
TASK-030	HI-007
TASK-030	HI-021
TASK-030	HL-58-LIFECYCLE
TASK-030	HL-68-ID
TASK-030	HL-68-MAP
TASK-030	HL-68-PUBLISH
TASK-030	RG24
TASK-031	A02
TASK-031	A40
TASK-031	A41
TASK-031	A43
TASK-031	A44
TASK-031	A45
TASK-031	A46
TASK-031	A73
TASK-031	A106
TASK-031	A107
TASK-031	F17
TASK-031	EARLY-AMEND-001
TASK-031	EARLY-AMEND-008
TASK-031	EARLY-AMEND-009
TASK-031	EARLY-AMEND-013
TASK-031	EARLY-AMEND-021
TASK-031	EARLY-AMEND-022
TASK-031	EARLY-AMEND-029
TASK-031	EARLY-AMEND-044
TASK-031	EARLY-007
TASK-031	EARLY-032
TASK-031	EARLY-033
TASK-031	EARLY-034
TASK-031	EARLY-036
TASK-031	EARLY-049
TASK-031	INLINE-F6
TASK-031	HAR-002
TASK-031	HAR-018
TASK-031	HAR-030
TASK-031	HAR-038
TASK-031	HAR-039
TASK-031	HI-036
TASK-031	HI-039
TASK-031	HI-043
TASK-031	HI-046
TASK-031	HI-049
TASK-031	HI-054
TASK-031	HI-055
TASK-031	HI-063
TASK-031	HI-066
TASK-031	HL-64-CAPS
TASK-031	HL-64-GESTURE
TASK-031	HL-69-REVEAL
TASK-031	HL-70-MONO
TASK-031	HL-72-BOUNDARY
TASK-031	HL-72-MATRIX
TASK-031	HL-73-INERT
TASK-031	HM01
TASK-031	HM05
TASK-031	HM06
TASK-031	HM07
TASK-031	HM08
TASK-031	HM09
TASK-031	HM22
TASK-031	HM23
TASK-031	HM24
TASK-031	HM36
TASK-031	HM48
TASK-031	HM49
TASK-031	HM50
TASK-031	RG06
TASK-031	RG07
TASK-031	RG17
TASK-031	RG30
TASK-031	RG32
TASK-031	RG46
TASK-073	A43
TASK-073	A44
TASK-073	A107
TASK-073	EARLY-AMEND-001
TASK-073	EARLY-AMEND-044
TASK-073	EARLY-049
TASK-073	HAR-038
TASK-073	HI-036
TASK-073	HL-64-CAPS
TASK-073	HL-72-MATRIX
TASK-073	HM05
TASK-073	HM06
TASK-073	HM07
TASK-073	HM08
TASK-073	HM09
TASK-073	HM48
TASK-073	HM49
TASK-073	HM50
TASK-073	RG46
