# phase	case	exact_test_key	digest	classification	frame	style_dump	ansi	html
after	chip_bar::focused	render::components::chip_bar::focused 120 40 paper mono	1a0425581edf8767	owned-cursor-state	frames/chip_bar--focused__120x40__paper__mono.txt	styles/chip_bar--focused__120x40__paper__mono.tsv	ansi/chip_bar--focused__120x40__paper__mono.ansi	html/chip_bar--focused__120x40__paper__mono.html
after	chip_bar::focused	render::components::chip_bar::focused 40 10 paper mono	c5f1dd6c13ac527a	owned-cursor-state	frames/chip_bar--focused__40x10__paper__mono.txt	styles/chip_bar--focused__40x10__paper__mono.tsv	ansi/chip_bar--focused__40x10__paper__mono.ansi	html/chip_bar--focused__40x10__paper__mono.html
after	code_editor::disabled	render::components::code_editor::disabled 120 40 junie truecolor	da11a7c9b16acc2a	disabled-editor-state	frames/code_editor--disabled__120x40__junie__truecolor.txt	styles/code_editor--disabled__120x40__junie__truecolor.tsv	ansi/code_editor--disabled__120x40__junie__truecolor.ansi	html/code_editor--disabled__120x40__junie__truecolor.html
after	code_editor::disabled	render::components::code_editor::disabled 40 10 junie truecolor	4006fe588b7d12aa	disabled-editor-state	frames/code_editor--disabled__40x10__junie__truecolor.txt	styles/code_editor--disabled__40x10__junie__truecolor.tsv	ansi/code_editor--disabled__40x10__junie__truecolor.ansi	html/code_editor--disabled__40x10__junie__truecolor.html
after	code_editor::disabled	render::components::code_editor::disabled 120 40 junie mono	881390f798002526	disabled-editor-state	frames/code_editor--disabled__120x40__junie__mono.txt	styles/code_editor--disabled__120x40__junie__mono.tsv	ansi/code_editor--disabled__120x40__junie__mono.ansi	html/code_editor--disabled__120x40__junie__mono.html
after	code_editor::disabled	render::components::code_editor::disabled 40 10 junie mono	3f3c7aee8777ed26	disabled-editor-state	frames/code_editor--disabled__40x10__junie__mono.txt	styles/code_editor--disabled__40x10__junie__mono.tsv	ansi/code_editor--disabled__40x10__junie__mono.ansi	html/code_editor--disabled__40x10__junie__mono.html
after	code_editor::disabled	render::components::code_editor::disabled 120 40 paper truecolor	2f229feb8266a982	disabled-editor-state	frames/code_editor--disabled__120x40__paper__truecolor.txt	styles/code_editor--disabled__120x40__paper__truecolor.tsv	ansi/code_editor--disabled__120x40__paper__truecolor.ansi	html/code_editor--disabled__120x40__paper__truecolor.html
after	code_editor::disabled	render::components::code_editor::disabled 40 10 paper truecolor	5055bf8365bd2e82	disabled-editor-state	frames/code_editor--disabled__40x10__paper__truecolor.txt	styles/code_editor--disabled__40x10__paper__truecolor.tsv	ansi/code_editor--disabled__40x10__paper__truecolor.ansi	html/code_editor--disabled__40x10__paper__truecolor.html
after	code_editor::disabled	render::components::code_editor::disabled 120 40 paper mono	950da360be7bf036	disabled-editor-state	frames/code_editor--disabled__120x40__paper__mono.txt	styles/code_editor--disabled__120x40__paper__mono.tsv	ansi/code_editor--disabled__120x40__paper__mono.ansi	html/code_editor--disabled__120x40__paper__mono.html
after	code_editor::disabled	render::components::code_editor::disabled 40 10 paper mono	c6b533f4a2d7c3d6	disabled-editor-state	frames/code_editor--disabled__40x10__paper__mono.txt	styles/code_editor--disabled__40x10__paper__mono.tsv	ansi/code_editor--disabled__40x10__paper__mono.ansi	html/code_editor--disabled__40x10__paper__mono.html
after	completion::pressed	render::components::completion::pressed 120 40 junie truecolor	f7b389ebdfb56f5b	owned-cursor-state	frames/completion--pressed__120x40__junie__truecolor.txt			
after	completion::pressed	render::components::completion::pressed 40 10 junie truecolor	d592796ece8d8bab	owned-cursor-state	frames/completion--pressed__40x10__junie__truecolor.txt			
after	completion::pressed	render::components::completion::pressed 120 40 junie mono	6661760525ceacad	owned-cursor-state	frames/completion--pressed__120x40__junie__mono.txt			
after	completion::pressed	render::components::completion::pressed 40 10 junie mono	53cc35c39c2b98cd	owned-cursor-state	frames/completion--pressed__40x10__junie__mono.txt			
after	completion::pressed	render::components::completion::pressed 120 40 paper truecolor	96e48a9b9c5a511e	owned-cursor-state	frames/completion--pressed__120x40__paper__truecolor.txt			
after	completion::pressed	render::components::completion::pressed 40 10 paper truecolor	1581d4463c6a37be	owned-cursor-state	frames/completion--pressed__40x10__paper__truecolor.txt			
after	completion::pressed	render::components::completion::pressed 120 40 paper mono	7013081344e1c8e5	owned-cursor-state	frames/completion--pressed__120x40__paper__mono.txt			
after	completion::pressed	render::components::completion::pressed 40 10 paper mono	77e6189ecd35a265	owned-cursor-state	frames/completion--pressed__40x10__paper__mono.txt			
after	completion::selected	render::components::completion::selected 120 40 junie truecolor	c86abd37711baa7d	selected-row-marker	frames/completion--selected__120x40__junie__truecolor.txt			
after	completion::selected	render::components::completion::selected 40 10 junie truecolor	58d67c434c3c1cdd	selected-row-marker	frames/completion--selected__40x10__junie__truecolor.txt			
after	completion::selected	render::components::completion::selected 120 40 junie mono	f383040025d71b9d	selected-row-marker	frames/completion--selected__120x40__junie__mono.txt			
after	completion::selected	render::components::completion::selected 40 10 junie mono	4e41be5267225d7d	selected-row-marker	frames/completion--selected__40x10__junie__mono.txt			
after	completion::selected	render::components::completion::selected 120 40 paper truecolor	a0a028f6d9b5eb48	selected-row-marker	frames/completion--selected__120x40__paper__truecolor.txt			
after	completion::selected	render::components::completion::selected 40 10 paper truecolor	7482eff9a2a8c5d8	selected-row-marker	frames/completion--selected__40x10__paper__truecolor.txt			
after	completion::selected	render::components::completion::selected 120 40 paper mono	fdb1835355e10907	selected-row-marker	frames/completion--selected__120x40__paper__mono.txt			
after	completion::selected	render::components::completion::selected 40 10 paper mono	6096350552660037	selected-row-marker	frames/completion--selected__40x10__paper__mono.txt			
after	completion::focused	render::components::completion::focused 120 40 junie truecolor	1a890cdac19284f3	owned-cursor-state	frames/completion--focused__120x40__junie__truecolor.txt			
after	completion::focused	render::components::completion::focused 40 10 junie truecolor	6ceb5195615cb3c3	owned-cursor-state	frames/completion--focused__40x10__junie__truecolor.txt			
after	completion::focused	render::components::completion::focused 120 40 junie mono	d0f1f42b82153e8f	owned-cursor-state	frames/completion--focused__120x40__junie__mono.txt			
after	completion::focused	render::components::completion::focused 40 10 junie mono	1d3015f5bbed89ff	owned-cursor-state	frames/completion--focused__40x10__junie__mono.txt			
after	completion::focused	render::components::completion::focused 120 40 paper truecolor	951a568a66ddc8de	owned-cursor-state	frames/completion--focused__120x40__paper__truecolor.txt			
after	completion::focused	render::components::completion::focused 40 10 paper truecolor	650e8680f7fbc87e	owned-cursor-state	frames/completion--focused__40x10__paper__truecolor.txt			
after	completion::focused	render::components::completion::focused 120 40 paper mono	bc920cb36b0df7c5	owned-cursor-state	frames/completion--focused__120x40__paper__mono.txt			
after	completion::focused	render::components::completion::focused 40 10 paper mono	ca2d8a9990aa8525	owned-cursor-state	frames/completion--focused__40x10__paper__mono.txt			
after	dialog::disabled	render::components::dialog::disabled 120 40 junie truecolor	0b134dfe49fc91dc	disabled-actions	frames/dialog--disabled__120x40__junie__truecolor.txt	styles/dialog--disabled__120x40__junie__truecolor.tsv	ansi/dialog--disabled__120x40__junie__truecolor.ansi	html/dialog--disabled__120x40__junie__truecolor.html
after	dialog::disabled	render::components::dialog::disabled 40 10 junie truecolor	36cf11641eca3792	disabled-actions	frames/dialog--disabled__40x10__junie__truecolor.txt	styles/dialog--disabled__40x10__junie__truecolor.tsv	ansi/dialog--disabled__40x10__junie__truecolor.ansi	html/dialog--disabled__40x10__junie__truecolor.html
after	dialog::disabled	render::components::dialog::disabled 120 40 junie mono	2d6a3cd4c020d7e5	disabled-actions	frames/dialog--disabled__120x40__junie__mono.txt	styles/dialog--disabled__120x40__junie__mono.tsv	ansi/dialog--disabled__120x40__junie__mono.ansi	html/dialog--disabled__120x40__junie__mono.html
after	dialog::disabled	render::components::dialog::disabled 40 10 junie mono	3ef081624f0f1fa5	disabled-actions	frames/dialog--disabled__40x10__junie__mono.txt	styles/dialog--disabled__40x10__junie__mono.tsv	ansi/dialog--disabled__40x10__junie__mono.ansi	html/dialog--disabled__40x10__junie__mono.html
after	dialog::disabled	render::components::dialog::disabled 120 40 paper truecolor	9f89355d75801b00	disabled-actions	frames/dialog--disabled__120x40__paper__truecolor.txt	styles/dialog--disabled__120x40__paper__truecolor.tsv	ansi/dialog--disabled__120x40__paper__truecolor.ansi	html/dialog--disabled__120x40__paper__truecolor.html
after	dialog::disabled	render::components::dialog::disabled 40 10 paper truecolor	5d6911160dfe8ed6	disabled-actions	frames/dialog--disabled__40x10__paper__truecolor.txt	styles/dialog--disabled__40x10__paper__truecolor.tsv	ansi/dialog--disabled__40x10__paper__truecolor.ansi	html/dialog--disabled__40x10__paper__truecolor.html
after	dialog::disabled	render::components::dialog::disabled 120 40 paper mono	6e84f6e549134175	disabled-actions	frames/dialog--disabled__120x40__paper__mono.txt	styles/dialog--disabled__120x40__paper__mono.tsv	ansi/dialog--disabled__120x40__paper__mono.ansi	html/dialog--disabled__120x40__paper__mono.html
after	dialog::disabled	render::components::dialog::disabled 40 10 paper mono	9033e3ce2e9ff745	disabled-actions	frames/dialog--disabled__40x10__paper__mono.txt	styles/dialog--disabled__40x10__paper__mono.tsv	ansi/dialog--disabled__40x10__paper__mono.ansi	html/dialog--disabled__40x10__paper__mono.html
after	context_menu::selected	render::components::context_menu::selected 120 40 junie truecolor	440b4817d3857677	selected-row-marker	frames/context_menu--selected__120x40__junie__truecolor.txt			
after	context_menu::selected	render::components::context_menu::selected 40 10 junie truecolor	63246d15b17902c7	selected-row-marker	frames/context_menu--selected__40x10__junie__truecolor.txt			
after	context_menu::selected	render::components::context_menu::selected 120 40 junie mono	0899613b64e8db7f	selected-row-marker	frames/context_menu--selected__120x40__junie__mono.txt			
after	context_menu::selected	render::components::context_menu::selected 40 10 junie mono	e669e97b77da4caf	selected-row-marker	frames/context_menu--selected__40x10__junie__mono.txt			
after	context_menu::selected	render::components::context_menu::selected 120 40 paper truecolor	83c2811b87b3ed8a	selected-row-marker	frames/context_menu--selected__120x40__paper__truecolor.txt			
after	context_menu::selected	render::components::context_menu::selected 40 10 paper truecolor	cea041471ee2489a	selected-row-marker	frames/context_menu--selected__40x10__paper__truecolor.txt			
after	context_menu::selected	render::components::context_menu::selected 120 40 paper mono	7836a0d193a3e5e9	selected-row-marker	frames/context_menu--selected__120x40__paper__mono.txt			
after	context_menu::selected	render::components::context_menu::selected 40 10 paper mono	94cba6fc7673c709	selected-row-marker	frames/context_menu--selected__40x10__paper__mono.txt			
after	filter_list::focused	render::components::filter_list::focused 120 40 junie truecolor	3c317d296cfa0209	owned-cursor-state	frames/filter_list--focused__120x40__junie__truecolor.txt			
after	filter_list::focused	render::components::filter_list::focused 40 10 junie truecolor	1c3e7cb3e8ccbba9	owned-cursor-state	frames/filter_list--focused__40x10__junie__truecolor.txt			
after	filter_list::focused	render::components::filter_list::focused 120 40 junie mono	3ea8f014da1290b7	owned-cursor-state	frames/filter_list--focused__120x40__junie__mono.txt			
after	filter_list::focused	render::components::filter_list::focused 40 10 junie mono	d8ce4f5e833d9997	owned-cursor-state	frames/filter_list--focused__40x10__junie__mono.txt			
after	filter_list::focused	render::components::filter_list::focused 120 40 paper truecolor	924b05fc856d5972	owned-cursor-state	frames/filter_list--focused__120x40__paper__truecolor.txt			
after	filter_list::focused	render::components::filter_list::focused 40 10 paper truecolor	eb0989a7b09b4812	owned-cursor-state	frames/filter_list--focused__40x10__paper__truecolor.txt			
after	filter_list::focused	render::components::filter_list::focused 120 40 paper mono	70d7a1fdf11f1fd1	owned-cursor-state	frames/filter_list--focused__120x40__paper__mono.txt			
after	filter_list::focused	render::components::filter_list::focused 40 10 paper mono	c6467f4ab6dc3a31	owned-cursor-state	frames/filter_list--focused__40x10__paper__mono.txt			
after	filter_list::pressed	render::components::filter_list::pressed 120 40 junie truecolor	a4cc19f8d477e695	owned-cursor-state	frames/filter_list--pressed__120x40__junie__truecolor.txt			
after	filter_list::pressed	render::components::filter_list::pressed 40 10 junie truecolor	dbb9a0eae3643415	owned-cursor-state	frames/filter_list--pressed__40x10__junie__truecolor.txt			
after	filter_list::pressed	render::components::filter_list::pressed 120 40 junie mono	167afdc6e2146119	owned-cursor-state	frames/filter_list--pressed__120x40__junie__mono.txt			
after	filter_list::pressed	render::components::filter_list::pressed 40 10 junie mono	0d816ddd663aaaf9	owned-cursor-state	frames/filter_list--pressed__40x10__junie__mono.txt			
after	filter_list::pressed	render::components::filter_list::pressed 120 40 paper truecolor	5b3189219f13cdce	owned-cursor-state	frames/filter_list--pressed__120x40__paper__truecolor.txt			
after	filter_list::pressed	render::components::filter_list::pressed 40 10 paper truecolor	d56e6676173dd1ce	owned-cursor-state	frames/filter_list--pressed__40x10__paper__truecolor.txt			
after	filter_list::pressed	render::components::filter_list::pressed 120 40 paper mono	748a76899516c9b5	owned-cursor-state	frames/filter_list--pressed__120x40__paper__mono.txt			
after	filter_list::pressed	render::components::filter_list::pressed 40 10 paper mono	6063ad8ef3a17f95	owned-cursor-state	frames/filter_list--pressed__40x10__paper__mono.txt			
after	filter_list::selected	render::components::filter_list::selected 120 40 junie truecolor	65b0aa26b58f144b	selected-row-marker	frames/filter_list--selected__120x40__junie__truecolor.txt			
after	filter_list::selected	render::components::filter_list::selected 40 10 junie truecolor	b75b74fae33c588b	selected-row-marker	frames/filter_list--selected__40x10__junie__truecolor.txt			
after	filter_list::selected	render::components::filter_list::selected 120 40 junie mono	3f69440e4a9060e9	selected-row-marker	frames/filter_list--selected__120x40__junie__mono.txt			
after	filter_list::selected	render::components::filter_list::selected 40 10 junie mono	7d236c8e9d341d89	selected-row-marker	frames/filter_list--selected__40x10__junie__mono.txt			
after	filter_list::selected	render::components::filter_list::selected 120 40 paper truecolor	91f841839b52040a	selected-row-marker	frames/filter_list--selected__120x40__paper__truecolor.txt			
after	filter_list::selected	render::components::filter_list::selected 40 10 paper truecolor	2c2fec69363618fa	selected-row-marker	frames/filter_list--selected__40x10__paper__truecolor.txt			
after	filter_list::selected	render::components::filter_list::selected 120 40 paper mono	6f8e4459aaa89e0b	selected-row-marker	frames/filter_list--selected__120x40__paper__mono.txt			
after	filter_list::selected	render::components::filter_list::selected 40 10 paper mono	14aa4be1b51e4cab	selected-row-marker	frames/filter_list--selected__40x10__paper__mono.txt			
after	menu_bar::disabled	render::components::menu_bar::disabled 120 40 junie truecolor	ee73e38d0aac1d5f	disabled-menu-title	frames/menu_bar--disabled__120x40__junie__truecolor.txt	styles/menu_bar--disabled__120x40__junie__truecolor.tsv	ansi/menu_bar--disabled__120x40__junie__truecolor.ansi	html/menu_bar--disabled__120x40__junie__truecolor.html
after	menu_bar::disabled	render::components::menu_bar::disabled 40 10 junie truecolor	941d2bfe50b94e9f	disabled-menu-title	frames/menu_bar--disabled__40x10__junie__truecolor.txt	styles/menu_bar--disabled__40x10__junie__truecolor.tsv	ansi/menu_bar--disabled__40x10__junie__truecolor.ansi	html/menu_bar--disabled__40x10__junie__truecolor.html
after	menu_bar::disabled	render::components::menu_bar::disabled 120 40 junie mono	9af82d9aa0bb0e6b	disabled-menu-title	frames/menu_bar--disabled__120x40__junie__mono.txt	styles/menu_bar--disabled__120x40__junie__mono.tsv	ansi/menu_bar--disabled__120x40__junie__mono.ansi	html/menu_bar--disabled__120x40__junie__mono.html
after	menu_bar::disabled	render::components::menu_bar::disabled 40 10 junie mono	5875cb2ca6db0e4b	disabled-menu-title	frames/menu_bar--disabled__40x10__junie__mono.txt	styles/menu_bar--disabled__40x10__junie__mono.tsv	ansi/menu_bar--disabled__40x10__junie__mono.ansi	html/menu_bar--disabled__40x10__junie__mono.html
after	menu_bar::disabled	render::components::menu_bar::disabled 120 40 paper truecolor	c51182a848826343	disabled-menu-title	frames/menu_bar--disabled__120x40__paper__truecolor.txt	styles/menu_bar--disabled__120x40__paper__truecolor.tsv	ansi/menu_bar--disabled__120x40__paper__truecolor.ansi	html/menu_bar--disabled__120x40__paper__truecolor.html
after	menu_bar::disabled	render::components::menu_bar::disabled 40 10 paper truecolor	d450ea8c66ace473	disabled-menu-title	frames/menu_bar--disabled__40x10__paper__truecolor.txt	styles/menu_bar--disabled__40x10__paper__truecolor.tsv	ansi/menu_bar--disabled__40x10__paper__truecolor.ansi	html/menu_bar--disabled__40x10__paper__truecolor.html
after	menu_bar::disabled	render::components::menu_bar::disabled 120 40 paper mono	47ca50934e3a7cab	disabled-menu-title	frames/menu_bar--disabled__120x40__paper__mono.txt	styles/menu_bar--disabled__120x40__paper__mono.tsv	ansi/menu_bar--disabled__120x40__paper__mono.ansi	html/menu_bar--disabled__120x40__paper__mono.html
after	menu_bar::disabled	render::components::menu_bar::disabled 40 10 paper mono	215378711234f50b	disabled-menu-title	frames/menu_bar--disabled__40x10__paper__mono.txt	styles/menu_bar--disabled__40x10__paper__mono.tsv	ansi/menu_bar--disabled__40x10__paper__mono.ansi	html/menu_bar--disabled__40x10__paper__mono.html
after	list::pressed	render::components::list::pressed 120 40 junie truecolor	4f8509df4dd3d6a3	owned-cursor-state	frames/list--pressed__120x40__junie__truecolor.txt			
after	list::pressed	render::components::list::pressed 40 10 junie truecolor	0cfde54fb5f36ba3	owned-cursor-state	frames/list--pressed__40x10__junie__truecolor.txt			
after	list::pressed	render::components::list::pressed 120 40 junie mono	58d1cbccb78dd4f7	owned-cursor-state	frames/list--pressed__120x40__junie__mono.txt			
after	list::pressed	render::components::list::pressed 40 10 junie mono	fb08873b8e58e857	owned-cursor-state	frames/list--pressed__40x10__junie__mono.txt			
after	list::pressed	render::components::list::pressed 120 40 paper truecolor	e608c80c5d2853e4	owned-cursor-state	frames/list--pressed__120x40__paper__truecolor.txt			
after	list::pressed	render::components::list::pressed 40 10 paper truecolor	174d354087cf3c44	owned-cursor-state	frames/list--pressed__40x10__paper__truecolor.txt			
after	list::pressed	render::components::list::pressed 120 40 paper mono	4a88db0dfb7b711b	owned-cursor-state	frames/list--pressed__120x40__paper__mono.txt			
after	list::pressed	render::components::list::pressed 40 10 paper mono	2eccd01dd15f4bfb	owned-cursor-state	frames/list--pressed__40x10__paper__mono.txt			
after	list::focused	render::components::list::focused 120 40 junie truecolor	82a91ae72dbb6f5f	owned-cursor-state	frames/list--focused__120x40__junie__truecolor.txt			
after	list::focused	render::components::list::focused 40 10 junie truecolor	0194da55648030ff	owned-cursor-state	frames/list--focused__40x10__junie__truecolor.txt			
after	list::focused	render::components::list::focused 120 40 junie mono	c82eb2ea27b199e1	owned-cursor-state	frames/list--focused__120x40__junie__mono.txt			
after	list::focused	render::components::list::focused 40 10 junie mono	63512ef3e9965241	owned-cursor-state	frames/list--focused__40x10__junie__mono.txt			
after	list::focused	render::components::list::focused 120 40 paper truecolor	2b20bcba9fcb1768	owned-cursor-state	frames/list--focused__120x40__paper__truecolor.txt			
after	list::focused	render::components::list::focused 40 10 paper truecolor	9747894746c94f28	owned-cursor-state	frames/list--focused__40x10__paper__truecolor.txt			
after	list::focused	render::components::list::focused 120 40 paper mono	cf4253e49708d4c7	owned-cursor-state	frames/list--focused__120x40__paper__mono.txt			
after	list::focused	render::components::list::focused 40 10 paper mono	af2da36dce26e4a7	owned-cursor-state	frames/list--focused__40x10__paper__mono.txt			
after	list::disabled	render::components::list::disabled 120 40 junie truecolor	75e65c95a31af14a	disabled-items	frames/list--disabled__120x40__junie__truecolor.txt	styles/list--disabled__120x40__junie__truecolor.tsv	ansi/list--disabled__120x40__junie__truecolor.ansi	html/list--disabled__120x40__junie__truecolor.html
after	list::disabled	render::components::list::disabled 40 10 junie truecolor	18f31a3001f22eca	disabled-items	frames/list--disabled__40x10__junie__truecolor.txt	styles/list--disabled__40x10__junie__truecolor.tsv	ansi/list--disabled__40x10__junie__truecolor.ansi	html/list--disabled__40x10__junie__truecolor.html
after	list::disabled	render::components::list::disabled 120 40 junie mono	f103800dc105c655	disabled-items	frames/list--disabled__120x40__junie__mono.txt	styles/list--disabled__120x40__junie__mono.tsv	ansi/list--disabled__120x40__junie__mono.ansi	html/list--disabled__120x40__junie__mono.html
after	list::disabled	render::components::list::disabled 40 10 junie mono	d7fff511bd43b3b5	disabled-items	frames/list--disabled__40x10__junie__mono.txt	styles/list--disabled__40x10__junie__mono.tsv	ansi/list--disabled__40x10__junie__mono.ansi	html/list--disabled__40x10__junie__mono.html
after	list::disabled	render::components::list::disabled 120 40 paper truecolor	1a7c1de4c4138669	disabled-items	frames/list--disabled__120x40__paper__truecolor.txt	styles/list--disabled__120x40__paper__truecolor.tsv	ansi/list--disabled__120x40__paper__truecolor.ansi	html/list--disabled__120x40__paper__truecolor.html
after	list::disabled	render::components::list::disabled 40 10 paper truecolor	733286663f91e919	disabled-items	frames/list--disabled__40x10__paper__truecolor.txt	styles/list--disabled__40x10__paper__truecolor.tsv	ansi/list--disabled__40x10__paper__truecolor.ansi	html/list--disabled__40x10__paper__truecolor.html
after	list::disabled	render::components::list::disabled 120 40 paper mono	83c3412c6d3274e1	disabled-items	frames/list--disabled__120x40__paper__mono.txt	styles/list--disabled__120x40__paper__mono.tsv	ansi/list--disabled__120x40__paper__mono.ansi	html/list--disabled__120x40__paper__mono.html
after	list::disabled	render::components::list::disabled 40 10 paper mono	12d2ab9c62b89201	disabled-items	frames/list--disabled__40x10__paper__mono.txt	styles/list--disabled__40x10__paper__mono.tsv	ansi/list--disabled__40x10__paper__mono.ansi	html/list--disabled__40x10__paper__mono.html
after	menu_bar::selected	render::components::menu_bar::selected 120 40 junie truecolor	7ce2dcb96fe3ab74	selected-menu-title-marker	frames/menu_bar--selected__120x40__junie__truecolor.txt			
after	menu_bar::selected	render::components::menu_bar::selected 40 10 junie truecolor	042240f4cf8be674	selected-menu-title-marker	frames/menu_bar--selected__40x10__junie__truecolor.txt			
after	menu_bar::selected	render::components::menu_bar::selected 120 40 junie mono	2cadcc13e3a3e5dc	selected-menu-title-marker	frames/menu_bar--selected__120x40__junie__mono.txt			
after	menu_bar::selected	render::components::menu_bar::selected 40 10 junie mono	b384a1a3ec5178bc	selected-menu-title-marker	frames/menu_bar--selected__40x10__junie__mono.txt			
after	menu_bar::selected	render::components::menu_bar::selected 120 40 paper truecolor	97c0c20511358e28	selected-menu-title-marker	frames/menu_bar--selected__120x40__paper__truecolor.txt			
after	menu_bar::selected	render::components::menu_bar::selected 40 10 paper truecolor	b93f5d7953bf5db8	selected-menu-title-marker	frames/menu_bar--selected__40x10__paper__truecolor.txt			
after	menu_bar::selected	render::components::menu_bar::selected 120 40 paper mono	1475eebd94fb5194	selected-menu-title-marker	frames/menu_bar--selected__120x40__paper__mono.txt			
after	menu_bar::selected	render::components::menu_bar::selected 40 10 paper mono	872baa8d69b7c874	selected-menu-title-marker	frames/menu_bar--selected__40x10__paper__mono.txt			
after	nav_list::focused	render::components::nav_list::focused 120 40 junie truecolor	f554267b7ee8fc00	owned-cursor-state	frames/nav_list--focused__120x40__junie__truecolor.txt			
after	nav_list::focused	render::components::nav_list::focused 40 10 junie truecolor	ee0e4d99b237d760	owned-cursor-state	frames/nav_list--focused__40x10__junie__truecolor.txt			
after	nav_list::focused	render::components::nav_list::focused 120 40 junie mono	92e7590be06299da	owned-cursor-state	frames/nav_list--focused__120x40__junie__mono.txt			
after	nav_list::focused	render::components::nav_list::focused 40 10 junie mono	fbfea57f3bea9fba	owned-cursor-state	frames/nav_list--focused__40x10__junie__mono.txt			
after	nav_list::focused	render::components::nav_list::focused 120 40 paper truecolor	532acf4ff044aee7	owned-cursor-state	frames/nav_list--focused__120x40__paper__truecolor.txt			
after	nav_list::focused	render::components::nav_list::focused 40 10 paper truecolor	6756802c7f4823c7	owned-cursor-state	frames/nav_list--focused__40x10__paper__truecolor.txt			
after	nav_list::focused	render::components::nav_list::focused 120 40 paper mono	51f6c66f35311470	owned-cursor-state	frames/nav_list--focused__120x40__paper__mono.txt			
after	nav_list::focused	render::components::nav_list::focused 40 10 paper mono	cad797704aec7ed0	owned-cursor-state	frames/nav_list--focused__40x10__paper__mono.txt			
after	nav_list::pressed	render::components::nav_list::pressed 120 40 junie truecolor	eb922fa4890e2230	owned-cursor-state	frames/nav_list--pressed__120x40__junie__truecolor.txt			
after	nav_list::pressed	render::components::nav_list::pressed 40 10 junie truecolor	415381837005dff0	owned-cursor-state	frames/nav_list--pressed__40x10__junie__truecolor.txt			
after	nav_list::pressed	render::components::nav_list::pressed 120 40 junie mono	51fd20d819d143f8	owned-cursor-state	frames/nav_list--pressed__120x40__junie__mono.txt			
after	nav_list::pressed	render::components::nav_list::pressed 40 10 junie mono	f509dd11dca59558	owned-cursor-state	frames/nav_list--pressed__40x10__junie__mono.txt			
after	nav_list::pressed	render::components::nav_list::pressed 120 40 paper truecolor	ae97a016290304c8	owned-cursor-state	frames/nav_list--pressed__120x40__paper__truecolor.txt			
