
running 98 tests
test tests::the_2010_item_list_survives_the_split_tables ... ok
test tests::the_2010_scope_tags_are_declared_where_the_guard_needs_them ... ok
test tests::the_scope_tag_is_read_from_the_row_text ... ok
test tests::showcase_page_contract_rejects_short_duplicate_and_dead_axes ... ok
test tests::the_same_move_with_a_ledger_entry_passes ... ok
test historical_additions::tests::invalid_or_unrelated_base_cannot_authorize_recovery ... ok
test tests::the_baseline_inventory_is_not_empty ... ok
test tests::invalid_explicit_guard_base_does_not_fall_back_to_pull_request_base ... ok
test tests::closure_signature_gate_accepts_current_component_sources ... ok
test tests::capture_provenance_rejects_fifo_state_without_blocking ... ok
test tests::grid_model_surface_gate_accepts_fixture_and_current_source ... ok
test parity::tests::frozen_manifest_and_mapping_cover_all_recipes ... ok
test tests::capture_shell_state_reader_rejects_a_replaced_symlink ... ok
test tests::capture_provenance_rejects_symlinked_parent_directories ... ok
test tests::failed_capture_start_removes_its_partial_run_state ... ok
test tests::capture_exec_uses_the_staged_binary_and_recorded_environment ... ok
test tests::capture_tmux_entrypoint_executes_serialized_argv_without_shell_interpretation ... ok
test tests::capture_provenance_failure_rolls_back_without_a_mixed_generation ... ok
/var/folders/8p/h376l_nn3375kyj72czdq2x80000gn/T/terminal-components-capture-concurrent-shot-6859-1788827842039566000/shots/concurrent/html (80 x 24; run=concurrent-run; color=truecolor; provenance=/var/folders/8p/h376l_nn3375kyj72czdq2x80000gn/T/terminal-components-capture-concurrent-shot-6859-1788827842039566000/manifest.json)
test tests::capture_shot_lock_serializes_concurrent_provenance ... ok

test result: ok. 98 passed; 0 failed; 0 ignored; 0 measured; 0 filtered out; finished in 3.47s

   Compiling xtask v0.1.0 (/Users/donbeave/Projects/terminal-components-historical-assets/xtask)
    Finished `test` profile [unoptimized + debuginfo] target(s) in 0.58s
     Running unittests src/main.rs (/Users/donbeave/Projects/terminal-components-integration-evidence/target-historical-assets/debug/deps/xtask-04ddc44049f0bf17)
capture provenance: capture state is not a regular file: /var/folders/8p/h376l_nn3375kyj72czdq2x80000gn/T/terminal-components-capture-fifo-6859-1788827842012769000/state
mbx[savings]: every checkout believes it owns 67.1 GiB of outputs. the disk keeps one copy and says nothing.
