recipe_id	app	surface	viewport	color	theme	initial_state	historical_command	steps	current_argv	expected_txt	expected_ansi	expected_cursor	expected_html	expected_png	current_artifact_dir	provenance_path	trace_path	owner	replay_policy
showcase_sidebars_default_80x24	showcase	sidebars	80x24	truecolor	junie	sidebars_default	showcase --page sidebars	(none)	["target/debug/showcase","--page","sidebars"]	baseline/before/showcase_sidebars_default_80x24.txt	baseline/before/showcase_sidebars_default_80x24.ansi	baseline/before/showcase_sidebars_default_80x24.cursor	baseline/before/showcase_sidebars_default_80x24.html	baseline/before/showcase_sidebars_default_80x24.png	parity/replays/showcase_sidebars_default_80x24	parity/replays/showcase_sidebars_default_80x24/provenance.json	parity/replays/showcase_sidebars_default_80x24/trace.json	apps/showcase	required
showcase_dialogs_default_80x24	showcase	dialogs	80x24	truecolor	junie	dialogs_default	showcase --page dialogs	(none)	["target/debug/showcase","--page","dialogs"]	baseline/before/showcase_dialogs_default_80x24.txt	baseline/before/showcase_dialogs_default_80x24.ansi	baseline/before/showcase_dialogs_default_80x24.cursor	baseline/before/showcase_dialogs_default_80x24.html	baseline/before/showcase_dialogs_default_80x24.png	parity/replays/showcase_dialogs_default_80x24	parity/replays/showcase_dialogs_default_80x24/provenance.json	parity/replays/showcase_dialogs_default_80x24/trace.json	apps/showcase	required
showcase_progress_default_80x24	showcase	progress	80x24	truecolor	junie	progress_default	showcase --page progress	(none)	["target/debug/showcase","--page","progress"]	baseline/before/showcase_progress_default_80x24.txt	baseline/before/showcase_progress_default_80x24.ansi	baseline/before/showcase_progress_default_80x24.cursor	baseline/before/showcase_progress_default_80x24.html	baseline/before/showcase_progress_default_80x24.png	parity/replays/showcase_progress_default_80x24	parity/replays/showcase_progress_default_80x24/provenance.json	parity/replays/showcase_progress_default_80x24/trace.json	apps/showcase	required
showcase_scrolling_default_80x24	showcase	scrolling	80x24	truecolor	junie	scrolling_default	showcase --page scrolling	(none)	["target/debug/showcase","--page","scrolling"]	baseline/before/showcase_scrolling_default_80x24.txt	baseline/before/showcase_scrolling_default_80x24.ansi	baseline/before/showcase_scrolling_default_80x24.cursor	baseline/before/showcase_scrolling_default_80x24.html	baseline/before/showcase_scrolling_default_80x24.png	parity/replays/showcase_scrolling_default_80x24	parity/replays/showcase_scrolling_default_80x24/provenance.json	parity/replays/showcase_scrolling_default_80x24/trace.json	apps/showcase	required
showcase_terminal_default_80x24	showcase	terminal	80x24	truecolor	junie	terminal_default	showcase --page terminal	(none)	["target/debug/showcase","--page","terminal"]	baseline/before/showcase_terminal_default_80x24.txt	baseline/before/showcase_terminal_default_80x24.ansi	baseline/before/showcase_terminal_default_80x24.cursor	baseline/before/showcase_terminal_default_80x24.html	baseline/before/showcase_terminal_default_80x24.png	parity/replays/showcase_terminal_default_80x24	parity/replays/showcase_terminal_default_80x24/provenance.json	parity/replays/showcase_terminal_default_80x24/trace.json	apps/showcase	required
showcase_codeeditor_default_80x24	showcase	codeeditor	80x24	truecolor	junie	codeeditor_default	showcase --page codeeditor	(none)	["target/debug/showcase","--page","codeeditor"]	baseline/before/showcase_codeeditor_default_80x24.txt	baseline/before/showcase_codeeditor_default_80x24.ansi	baseline/before/showcase_codeeditor_default_80x24.cursor	baseline/before/showcase_codeeditor_default_80x24.html	baseline/before/showcase_codeeditor_default_80x24.png	parity/replays/showcase_codeeditor_default_80x24	parity/replays/showcase_codeeditor_default_80x24/provenance.json	parity/replays/showcase_codeeditor_default_80x24/trace.json	apps/showcase	required
showcase_datagrid_default_80x24	showcase	datagrid	80x24	truecolor	junie	datagrid_default	showcase --page datagrid	(none)	["target/debug/showcase","--page","datagrid"]	baseline/before/showcase_datagrid_default_80x24.txt	baseline/before/showcase_datagrid_default_80x24.ansi	baseline/before/showcase_datagrid_default_80x24.cursor	baseline/before/showcase_datagrid_default_80x24.html	baseline/before/showcase_datagrid_default_80x24.png	parity/replays/showcase_datagrid_default_80x24	parity/replays/showcase_datagrid_default_80x24/provenance.json	parity/replays/showcase_datagrid_default_80x24/trace.json	apps/showcase	required
showcase_chipsselects_default_80x24	showcase	chipsselects	80x24	truecolor	junie	chipsselects_default	showcase --page chipsselects	(none)	["target/debug/showcase","--page","chipsselects"]	baseline/before/showcase_chipsselects_default_80x24.txt	baseline/before/showcase_chipsselects_default_80x24.ansi	baseline/before/showcase_chipsselects_default_80x24.cursor	baseline/before/showcase_chipsselects_default_80x24.html	baseline/before/showcase_chipsselects_default_80x24.png	parity/replays/showcase_chipsselects_default_80x24	parity/replays/showcase_chipsselects_default_80x24/provenance.json	parity/replays/showcase_chipsselects_default_80x24/trace.json	apps/showcase	required
showcase_pickers_default_80x24	showcase	pickers	80x24	truecolor	junie	pickers_default	showcase --page pickers	(none)	["target/debug/showcase","--page","pickers"]	baseline/before/showcase_pickers_default_80x24.txt	baseline/before/showcase_pickers_default_80x24.ansi	baseline/before/showcase_pickers_default_80x24.cursor	baseline/before/showcase_pickers_default_80x24.html	baseline/before/showcase_pickers_default_80x24.png	parity/replays/showcase_pickers_default_80x24	parity/replays/showcase_pickers_default_80x24/provenance.json	parity/replays/showcase_pickers_default_80x24/trace.json	apps/showcase	required
showcase_chrome_default_80x24	showcase	chrome	80x24	truecolor	junie	chrome_default	showcase --page chrome	(none)	["target/debug/showcase","--page","chrome"]	baseline/before/showcase_chrome_default_80x24.txt	baseline/before/showcase_chrome_default_80x24.ansi	baseline/before/showcase_chrome_default_80x24.cursor	baseline/before/showcase_chrome_default_80x24.html	baseline/before/showcase_chrome_default_80x24.png	parity/replays/showcase_chrome_default_80x24	parity/replays/showcase_chrome_default_80x24/provenance.json	parity/replays/showcase_chrome_default_80x24/trace.json	apps/showcase	required
showcase_settings_default_80x24	showcase	settings	80x24	truecolor	junie	settings_default	showcase --page settings	(none)	["target/debug/showcase","--page","settings"]	baseline/before/showcase_settings_default_80x24.txt	baseline/before/showcase_settings_default_80x24.ansi	baseline/before/showcase_settings_default_80x24.cursor	baseline/before/showcase_settings_default_80x24.html	baseline/before/showcase_settings_default_80x24.png	parity/replays/showcase_settings_default_80x24	parity/replays/showcase_settings_default_80x24/provenance.json	parity/replays/showcase_settings_default_80x24/trace.json	apps/showcase	required
showcase_taskrunner_default_80x24	showcase	taskrunner	80x24	truecolor	junie	taskrunner_default	showcase --page taskrunner	(none)	["target/debug/showcase","--page","taskrunner"]	baseline/before/showcase_taskrunner_default_80x24.txt	baseline/before/showcase_taskrunner_default_80x24.ansi	baseline/before/showcase_taskrunner_default_80x24.cursor	baseline/before/showcase_taskrunner_default_80x24.html	baseline/before/showcase_taskrunner_default_80x24.png	parity/replays/showcase_taskrunner_default_80x24	parity/replays/showcase_taskrunner_default_80x24/provenance.json	parity/replays/showcase_taskrunner_default_80x24/trace.json	apps/showcase	required
showcase_overview_default_100x30	showcase	overview	100x30	truecolor	junie	overview_default	showcase --page overview	(none)	["target/debug/showcase","--page","overview"]	baseline/before/showcase_overview_default_100x30.txt	baseline/before/showcase_overview_default_100x30.ansi	baseline/before/showcase_overview_default_100x30.cursor	baseline/before/showcase_overview_default_100x30.html	baseline/before/showcase_overview_default_100x30.png	parity/replays/showcase_overview_default_100x30	parity/replays/showcase_overview_default_100x30/provenance.json	parity/replays/showcase_overview_default_100x30/trace.json	apps/showcase	required
showcase_buttons_default_100x30	showcase	buttons	100x30	truecolor	junie	buttons_default	showcase --page buttons	(none)	["target/debug/showcase","--page","buttons"]	baseline/before/showcase_buttons_default_100x30.txt	baseline/before/showcase_buttons_default_100x30.ansi	baseline/before/showcase_buttons_default_100x30.cursor	baseline/before/showcase_buttons_default_100x30.html	baseline/before/showcase_buttons_default_100x30.png	parity/replays/showcase_buttons_default_100x30	parity/replays/showcase_buttons_default_100x30/provenance.json	parity/replays/showcase_buttons_default_100x30/trace.json	apps/showcase	required
showcase_inputs_default_100x30	showcase	inputs	100x30	truecolor	junie	inputs_default	showcase --page inputs	(none)	["target/debug/showcase","--page","inputs"]	baseline/before/showcase_inputs_default_100x30.txt	baseline/before/showcase_inputs_default_100x30.ansi	baseline/before/showcase_inputs_default_100x30.cursor	baseline/before/showcase_inputs_default_100x30.html	baseline/before/showcase_inputs_default_100x30.png	parity/replays/showcase_inputs_default_100x30	parity/replays/showcase_inputs_default_100x30/provenance.json	parity/replays/showcase_inputs_default_100x30/trace.json	apps/showcase	required
showcase_textareas_default_100x30	showcase	textareas	100x30	truecolor	junie	textareas_default	showcase --page textareas	(none)	["target/debug/showcase","--page","textareas"]	baseline/before/showcase_textareas_default_100x30.txt	baseline/before/showcase_textareas_default_100x30.ansi	baseline/before/showcase_textareas_default_100x30.cursor	baseline/before/showcase_textareas_default_100x30.html	baseline/before/showcase_textareas_default_100x30.png	parity/replays/showcase_textareas_default_100x30	parity/replays/showcase_textareas_default_100x30/provenance.json	parity/replays/showcase_textareas_default_100x30/trace.json	apps/showcase	required
showcase_forms_default_100x30	showcase	forms	100x30	truecolor	junie	forms_default	showcase --page forms	(none)	["target/debug/showcase","--page","forms"]	baseline/before/showcase_forms_default_100x30.txt	baseline/before/showcase_forms_default_100x30.ansi	baseline/before/showcase_forms_default_100x30.cursor	baseline/before/showcase_forms_default_100x30.html	baseline/before/showcase_forms_default_100x30.png	parity/replays/showcase_forms_default_100x30	parity/replays/showcase_forms_default_100x30/provenance.json	parity/replays/showcase_forms_default_100x30/trace.json	apps/showcase	required
showcase_lists_default_100x30	showcase	lists	100x30	truecolor	junie	lists_default	showcase --page lists	(none)	["target/debug/showcase","--page","lists"]	baseline/before/showcase_lists_default_100x30.txt	baseline/before/showcase_lists_default_100x30.ansi	baseline/before/showcase_lists_default_100x30.cursor	baseline/before/showcase_lists_default_100x30.html	baseline/before/showcase_lists_default_100x30.png	parity/replays/showcase_lists_default_100x30	parity/replays/showcase_lists_default_100x30/provenance.json	parity/replays/showcase_lists_default_100x30/trace.json	apps/showcase	required
showcase_trees_default_100x30	showcase	trees	100x30	truecolor	junie	trees_default	showcase --page trees	(none)	["target/debug/showcase","--page","trees"]	baseline/before/showcase_trees_default_100x30.txt	baseline/before/showcase_trees_default_100x30.ansi	baseline/before/showcase_trees_default_100x30.cursor	baseline/before/showcase_trees_default_100x30.html	baseline/before/showcase_trees_default_100x30.png	parity/replays/showcase_trees_default_100x30	parity/replays/showcase_trees_default_100x30/provenance.json	parity/replays/showcase_trees_default_100x30/trace.json	apps/showcase	required
showcase_tables_default_100x30	showcase	tables	100x30	truecolor	junie	tables_default	showcase --page tables	(none)	["target/debug/showcase","--page","tables"]	baseline/before/showcase_tables_default_100x30.txt	baseline/before/showcase_tables_default_100x30.ansi	baseline/before/showcase_tables_default_100x30.cursor	baseline/before/showcase_tables_default_100x30.html	baseline/before/showcase_tables_default_100x30.png	parity/replays/showcase_tables_default_100x30	parity/replays/showcase_tables_default_100x30/provenance.json	parity/replays/showcase_tables_default_100x30/trace.json	apps/showcase	required
showcase_editabletables_default_100x30	showcase	editabletables	100x30	truecolor	junie	editabletables_default	showcase --page editabletables	(none)	["target/debug/showcase","--page","editabletables"]	baseline/before/showcase_editabletables_default_100x30.txt	baseline/before/showcase_editabletables_default_100x30.ansi	baseline/before/showcase_editabletables_default_100x30.cursor	baseline/before/showcase_editabletables_default_100x30.html	baseline/before/showcase_editabletables_default_100x30.png	parity/replays/showcase_editabletables_default_100x30	parity/replays/showcase_editabletables_default_100x30/provenance.json	parity/replays/showcase_editabletables_default_100x30/trace.json	apps/showcase	required
showcase_panels_default_100x30	showcase	panels	100x30	truecolor	junie	panels_default	showcase --page panels	(none)	["target/debug/showcase","--page","panels"]	baseline/before/showcase_panels_default_100x30.txt	baseline/before/showcase_panels_default_100x30.ansi	baseline/before/showcase_panels_default_100x30.cursor	baseline/before/showcase_panels_default_100x30.html	baseline/before/showcase_panels_default_100x30.png	parity/replays/showcase_panels_default_100x30	parity/replays/showcase_panels_default_100x30/provenance.json	parity/replays/showcase_panels_default_100x30/trace.json	apps/showcase	required
showcase_sidebars_default_100x30	showcase	sidebars	100x30	truecolor	junie	sidebars_default	showcase --page sidebars	(none)	["target/debug/showcase","--page","sidebars"]	baseline/before/showcase_sidebars_default_100x30.txt	baseline/before/showcase_sidebars_default_100x30.ansi	baseline/before/showcase_sidebars_default_100x30.cursor	baseline/before/showcase_sidebars_default_100x30.html	baseline/before/showcase_sidebars_default_100x30.png	parity/replays/showcase_sidebars_default_100x30	parity/replays/showcase_sidebars_default_100x30/provenance.json	parity/replays/showcase_sidebars_default_100x30/trace.json	apps/showcase	required
showcase_dialogs_default_100x30	showcase	dialogs	100x30	truecolor	junie	dialogs_default	showcase --page dialogs	(none)	["target/debug/showcase","--page","dialogs"]	baseline/before/showcase_dialogs_default_100x30.txt	baseline/before/showcase_dialogs_default_100x30.ansi	baseline/before/showcase_dialogs_default_100x30.cursor	baseline/before/showcase_dialogs_default_100x30.html	baseline/before/showcase_dialogs_default_100x30.png	parity/replays/showcase_dialogs_default_100x30	parity/replays/showcase_dialogs_default_100x30/provenance.json	parity/replays/showcase_dialogs_default_100x30/trace.json	apps/showcase	required
showcase_progress_default_100x30	showcase	progress	100x30	truecolor	junie	progress_default	showcase --page progress	(none)	["target/debug/showcase","--page","progress"]	baseline/before/showcase_progress_default_100x30.txt	baseline/before/showcase_progress_default_100x30.ansi	baseline/before/showcase_progress_default_100x30.cursor	baseline/before/showcase_progress_default_100x30.html	baseline/before/showcase_progress_default_100x30.png	parity/replays/showcase_progress_default_100x30	parity/replays/showcase_progress_default_100x30/provenance.json	parity/replays/showcase_progress_default_100x30/trace.json	apps/showcase	required
showcase_scrolling_default_100x30	showcase	scrolling	100x30	truecolor	junie	scrolling_default	showcase --page scrolling	(none)	["target/debug/showcase","--page","scrolling"]	baseline/before/showcase_scrolling_default_100x30.txt	baseline/before/showcase_scrolling_default_100x30.ansi	baseline/before/showcase_scrolling_default_100x30.cursor	baseline/before/showcase_scrolling_default_100x30.html	baseline/before/showcase_scrolling_default_100x30.png	parity/replays/showcase_scrolling_default_100x30	parity/replays/showcase_scrolling_default_100x30/provenance.json	parity/replays/showcase_scrolling_default_100x30/trace.json	apps/showcase	required
showcase_terminal_default_100x30	showcase	terminal	100x30	truecolor	junie	terminal_default	showcase --page terminal	(none)	["target/debug/showcase","--page","terminal"]	baseline/before/showcase_terminal_default_100x30.txt	baseline/before/showcase_terminal_default_100x30.ansi	baseline/before/showcase_terminal_default_100x30.cursor	baseline/before/showcase_terminal_default_100x30.html	baseline/before/showcase_terminal_default_100x30.png	parity/replays/showcase_terminal_default_100x30	parity/replays/showcase_terminal_default_100x30/provenance.json	parity/replays/showcase_terminal_default_100x30/trace.json	apps/showcase	required
showcase_codeeditor_default_100x30	showcase	codeeditor	100x30	truecolor	junie	codeeditor_default	showcase --page codeeditor	(none)	["target/debug/showcase","--page","codeeditor"]	baseline/before/showcase_codeeditor_default_100x30.txt	baseline/before/showcase_codeeditor_default_100x30.ansi	baseline/before/showcase_codeeditor_default_100x30.cursor	baseline/before/showcase_codeeditor_default_100x30.html	baseline/before/showcase_codeeditor_default_100x30.png	parity/replays/showcase_codeeditor_default_100x30	parity/replays/showcase_codeeditor_default_100x30/provenance.json	parity/replays/showcase_codeeditor_default_100x30/trace.json	apps/showcase	required
showcase_datagrid_default_100x30	showcase	datagrid	100x30	truecolor	junie	datagrid_default	showcase --page datagrid	(none)	["target/debug/showcase","--page","datagrid"]	baseline/before/showcase_datagrid_default_100x30.txt	baseline/before/showcase_datagrid_default_100x30.ansi	baseline/before/showcase_datagrid_default_100x30.cursor	baseline/before/showcase_datagrid_default_100x30.html	baseline/before/showcase_datagrid_default_100x30.png	parity/replays/showcase_datagrid_default_100x30	parity/replays/showcase_datagrid_default_100x30/provenance.json	parity/replays/showcase_datagrid_default_100x30/trace.json	apps/showcase	required
showcase_chipsselects_default_100x30	showcase	chipsselects	100x30	truecolor	junie	chipsselects_default	showcase --page chipsselects	(none)	["target/debug/showcase","--page","chipsselects"]	baseline/before/showcase_chipsselects_default_100x30.txt	baseline/before/showcase_chipsselects_default_100x30.ansi	baseline/before/showcase_chipsselects_default_100x30.cursor	baseline/before/showcase_chipsselects_default_100x30.html	baseline/before/showcase_chipsselects_default_100x30.png	parity/replays/showcase_chipsselects_default_100x30	parity/replays/showcase_chipsselects_default_100x30/provenance.json	parity/replays/showcase_chipsselects_default_100x30/trace.json	apps/showcase	required
showcase_pickers_default_100x30	showcase	pickers	100x30	truecolor	junie	pickers_default	showcase --page pickers	(none)	["target/debug/showcase","--page","pickers"]	baseline/before/showcase_pickers_default_100x30.txt	baseline/before/showcase_pickers_default_100x30.ansi	baseline/before/showcase_pickers_default_100x30.cursor	baseline/before/showcase_pickers_default_100x30.html	baseline/before/showcase_pickers_default_100x30.png	parity/replays/showcase_pickers_default_100x30	parity/replays/showcase_pickers_default_100x30/provenance.json	parity/replays/showcase_pickers_default_100x30/trace.json	apps/showcase	required
showcase_chrome_default_100x30	showcase	chrome	100x30	truecolor	junie	chrome_default	showcase --page chrome	(none)	["target/debug/showcase","--page","chrome"]	baseline/before/showcase_chrome_default_100x30.txt	baseline/before/showcase_chrome_default_100x30.ansi	baseline/before/showcase_chrome_default_100x30.cursor	baseline/before/showcase_chrome_default_100x30.html	baseline/before/showcase_chrome_default_100x30.png	parity/replays/showcase_chrome_default_100x30	parity/replays/showcase_chrome_default_100x30/provenance.json	parity/replays/showcase_chrome_default_100x30/trace.json	apps/showcase	required
showcase_settings_default_100x30	showcase	settings	100x30	truecolor	junie	settings_default	showcase --page settings	(none)	["target/debug/showcase","--page","settings"]	baseline/before/showcase_settings_default_100x30.txt	baseline/before/showcase_settings_default_100x30.ansi	baseline/before/showcase_settings_default_100x30.cursor	baseline/before/showcase_settings_default_100x30.html	baseline/before/showcase_settings_default_100x30.png	parity/replays/showcase_settings_default_100x30	parity/replays/showcase_settings_default_100x30/provenance.json	parity/replays/showcase_settings_default_100x30/trace.json	apps/showcase	required
showcase_taskrunner_default_100x30	showcase	taskrunner	100x30	truecolor	junie	taskrunner_default	showcase --page taskrunner	(none)	["target/debug/showcase","--page","taskrunner"]	baseline/before/showcase_taskrunner_default_100x30.txt	baseline/before/showcase_taskrunner_default_100x30.ansi	baseline/before/showcase_taskrunner_default_100x30.cursor	baseline/before/showcase_taskrunner_default_100x30.html	baseline/before/showcase_taskrunner_default_100x30.png	parity/replays/showcase_taskrunner_default_100x30	parity/replays/showcase_taskrunner_default_100x30/provenance.json	parity/replays/showcase_taskrunner_default_100x30/trace.json	apps/showcase	required
showcase_overview_default_120x40	showcase	overview	120x40	truecolor	junie	overview_default	showcase --page overview	(none)	["target/debug/showcase","--page","overview"]	baseline/before/showcase_overview_default_120x40.txt	baseline/before/showcase_overview_default_120x40.ansi	baseline/before/showcase_overview_default_120x40.cursor	baseline/before/showcase_overview_default_120x40.html	baseline/before/showcase_overview_default_120x40.png	parity/replays/showcase_overview_default_120x40	parity/replays/showcase_overview_default_120x40/provenance.json	parity/replays/showcase_overview_default_120x40/trace.json	apps/showcase	required
showcase_buttons_default_120x40	showcase	buttons	120x40	truecolor	junie	buttons_default	showcase --page buttons	(none)	["target/debug/showcase","--page","buttons"]	baseline/before/showcase_buttons_default_120x40.txt	baseline/before/showcase_buttons_default_120x40.ansi	baseline/before/showcase_buttons_default_120x40.cursor	baseline/before/showcase_buttons_default_120x40.html	baseline/before/showcase_buttons_default_120x40.png	parity/replays/showcase_buttons_default_120x40	parity/replays/showcase_buttons_default_120x40/provenance.json	parity/replays/showcase_buttons_default_120x40/trace.json	apps/showcase	required
showcase_inputs_default_120x40	showcase	inputs	120x40	truecolor	junie	inputs_default	showcase --page inputs	(none)	["target/debug/showcase","--page","inputs"]	baseline/before/showcase_inputs_default_120x40.txt	baseline/before/showcase_inputs_default_120x40.ansi	baseline/before/showcase_inputs_default_120x40.cursor	baseline/before/showcase_inputs_default_120x40.html	baseline/before/showcase_inputs_default_120x40.png	parity/replays/showcase_inputs_default_120x40	parity/replays/showcase_inputs_default_120x40/provenance.json	parity/replays/showcase_inputs_default_120x40/trace.json	apps/showcase	required
showcase_textareas_default_120x40	showcase	textareas	120x40	truecolor	junie	textareas_default	showcase --page textareas	(none)	["target/debug/showcase","--page","textareas"]	baseline/before/showcase_textareas_default_120x40.txt	baseline/before/showcase_textareas_default_120x40.ansi	baseline/before/showcase_textareas_default_120x40.cursor	baseline/before/showcase_textareas_default_120x40.html	baseline/before/showcase_textareas_default_120x40.png	parity/replays/showcase_textareas_default_120x40	parity/replays/showcase_textareas_default_120x40/provenance.json	parity/replays/showcase_textareas_default_120x40/trace.json	apps/showcase	required
showcase_forms_default_120x40	showcase	forms	120x40	truecolor	junie	forms_default	showcase --page forms	(none)	["target/debug/showcase","--page","forms"]	baseline/before/showcase_forms_default_120x40.txt	baseline/before/showcase_forms_default_120x40.ansi	baseline/before/showcase_forms_default_120x40.cursor	baseline/before/showcase_forms_default_120x40.html	baseline/before/showcase_forms_default_120x40.png	parity/replays/showcase_forms_default_120x40	parity/replays/showcase_forms_default_120x40/provenance.json	parity/replays/showcase_forms_default_120x40/trace.json	apps/showcase	required
showcase_lists_default_120x40	showcase	lists	120x40	truecolor	junie	lists_default	showcase --page lists	(none)	["target/debug/showcase","--page","lists"]	baseline/before/showcase_lists_default_120x40.txt	baseline/before/showcase_lists_default_120x40.ansi	baseline/before/showcase_lists_default_120x40.cursor	baseline/before/showcase_lists_default_120x40.html	baseline/before/showcase_lists_default_120x40.png	parity/replays/showcase_lists_default_120x40	parity/replays/showcase_lists_default_120x40/provenance.json	parity/replays/showcase_lists_default_120x40/trace.json	apps/showcase	required
showcase_trees_default_120x40	showcase	trees	120x40	truecolor	junie	trees_default	showcase --page trees	(none)	["target/debug/showcase","--page","trees"]	baseline/before/showcase_trees_default_120x40.txt	baseline/before/showcase_trees_default_120x40.ansi	baseline/before/showcase_trees_default_120x40.cursor	baseline/before/showcase_trees_default_120x40.html	baseline/before/showcase_trees_default_120x40.png	parity/replays/showcase_trees_default_120x40	parity/replays/showcase_trees_default_120x40/provenance.json	parity/replays/showcase_trees_default_120x40/trace.json	apps/showcase	required
